00:05:15,569 INFO Experiment.PerfCost-fa65: Processed 1340 samples out of 10000, 0 errors
00:05:25,771 INFO Experiment.PerfCost-fa65: Processed 1350 samples out of 10000, 0 errors
00:05:35,963 INFO Experiment.PerfCost-fa65: Processed 1360 samples out of 10000, 0 errors
00:05:46,139 INFO Experiment.PerfCost-fa65: Processed 1370 samples out of 10000, 0 errors
00:05:56,325 INFO Experiment.PerfCost-fa65: Processed 1380 samples out of 10000, 0 errors
00:06:06,512 INFO Experiment.PerfCost-fa65: Processed 1390 samples out of 10000, 0 errors
00:06:16,689 INFO Experiment.PerfCost-fa65: Processed 1400 samples out of 10000, 0 errors
00:06:26,874 INFO Experiment.PerfCost-fa65: Processed 1410 samples out of 10000, 0 errors
00:06:37,63 INFO Experiment.PerfCost-fa65: Processed 1420 samples out of 10000, 0 errors
00:06:47,248 INFO Experiment.PerfCost-fa65: Processed 1430 samples out of 10000, 0 errors
00:06:57,417 INFO Experiment.PerfCost-fa65: Processed 1440 samples out of 10000, 0 errors
00:07:07,597 INFO Experiment.PerfCost-fa65: Processed 1450 samples out of 10000, 0 errors
00:07:17,773 INFO Experiment.PerfCost-fa65: Processed 1460 samples out of 10000, 0 errors
00:07:27,958 INFO Experiment.PerfCost-fa65: Processed 1470 samples out of 10000, 0 errors
00:07:38,133 INFO Experiment.PerfCost-fa65: Processed 1480 samples out of 10000, 0 errors
00:07:48,299 INFO Experiment.PerfCost-fa65: Processed 1490 samples out of 10000, 0 errors
00:07:58,550 INFO Experiment.PerfCost-fa65: Processed 1500 samples out of 10000, 0 errors
00:08:08,738 INFO Experiment.PerfCost-fa65: Processed 1510 samples out of 10000, 0 errors
00:08:18,914 INFO Experiment.PerfCost-fa65: Processed 1520 samples out of 10000, 0 errors
00:08:29,90 INFO Experiment.PerfCost-fa65: Processed 1530 samples out of 10000, 0 errors
00:08:39,280 INFO Experiment.PerfCost-fa65: Processed 1540 samples out of 10000, 0 errors
00:08:49,476 INFO Experiment.PerfCost-fa65: Processed 1550 samples out of 10000, 0 errors
00:08:59,695 INFO Experiment.PerfCost-fa65: Processed 1560 samples out of 10000, 0 errors
00:09:09,871 INFO Experiment.PerfCost-fa65: Processed 1570 samples out of 10000, 0 errors
00:09:20,52 INFO Experiment.PerfCost-fa65: Processed 1580 samples out of 10000, 0 errors
00:09:30,244 INFO Experiment.PerfCost-fa65: Processed 1590 samples out of 10000, 0 errors
00:09:40,426 INFO Experiment.PerfCost-fa65: Processed 1600 samples out of 10000, 0 errors
00:09:50,625 INFO Experiment.PerfCost-fa65: Processed 1610 samples out of 10000, 0 errors
00:10:00,812 INFO Experiment.PerfCost-fa65: Processed 1620 samples out of 10000, 0 errors
00:10:10,987 INFO Experiment.PerfCost-fa65: Processed 1630 samples out of 10000, 0 errors
00:10:21,195 INFO Experiment.PerfCost-fa65: Processed 1640 samples out of 10000, 0 errors
00:10:31,372 INFO Experiment.PerfCost-fa65: Processed 1650 samples out of 10000, 0 errors
00:10:41,560 INFO Experiment.PerfCost-fa65: Processed 1660 samples out of 10000, 0 errors
00:10:51,741 INFO Experiment.PerfCost-fa65: Processed 1670 samples out of 10000, 0 errors
00:11:01,918 INFO Experiment.PerfCost-fa65: Processed 1680 samples out of 10000, 0 errors
00:11:12,108 INFO Experiment.PerfCost-fa65: Processed 1690 samples out of 10000, 0 errors
00:11:22,287 INFO Experiment.PerfCost-fa65: Processed 1700 samples out of 10000, 0 errors
00:11:32,477 INFO Experiment.PerfCost-fa65: Processed 1710 samples out of 10000, 0 errors
00:11:42,659 INFO Experiment.PerfCost-fa65: Processed 1720 samples out of 10000, 0 errors
00:11:52,850 INFO Experiment.PerfCost-fa65: Processed 1730 samples out of 10000, 0 errors
00:12:03,29 INFO Experiment.PerfCost-fa65: Processed 1740 samples out of 10000, 0 errors
00:12:13,230 INFO Experiment.PerfCost-fa65: Processed 1750 samples out of 10000, 0 errors
00:12:23,425 INFO Experiment.PerfCost-fa65: Processed 1760 samples out of 10000, 0 errors
00:12:33,603 INFO Experiment.PerfCost-fa65: Processed 1770 samples out of 10000, 0 errors
00:12:43,795 INFO Experiment.PerfCost-fa65: Processed 1780 samples out of 10000, 0 errors
00:12:53,991 INFO Experiment.PerfCost-fa65: Processed 1790 samples out of 10000, 0 errors
00:13:04,230 INFO Experiment.PerfCost-fa65: Processed 1800 samples out of 10000, 0 errors
00:13:14,408 INFO Experiment.PerfCost-fa65: Processed 1810 samples out of 10000, 0 errors
00:13:24,597 INFO Experiment.PerfCost-fa65: Processed 1820 samples out of 10000, 0 errors
00:13:34,798 INFO Experiment.PerfCost-fa65: Processed 1830 samples out of 10000, 0 errors
00:13:44,985 INFO Experiment.PerfCost-fa65: Processed 1840 samples out of 10000, 0 errors
00:13:55,172 INFO Experiment.PerfCost-fa65: Processed 1850 samples out of 10000, 0 errors
00:14:05,368 INFO Experiment.PerfCost-fa65: Processed 1860 samples out of 10000, 0 errors
00:14:15,565 INFO Experiment.PerfCost-fa65: Processed 1870 samples out of 10000, 0 errors
00:14:25,749 INFO Experiment.PerfCost-fa65: Processed 1880 samples out of 10000, 0 errors
00:14:35,932 INFO Experiment.PerfCost-fa65: Processed 1890 samples out of 10000, 0 errors
00:14:46,114 INFO Experiment.PerfCost-fa65: Processed 1900 samples out of 10000, 0 errors
00:14:56,291 INFO Experiment.PerfCost-fa65: Processed 1910 samples out of 10000, 0 errors
00:15:06,471 INFO Experiment.PerfCost-fa65: Processed 1920 samples out of 10000, 0 errors
00:15:16,669 INFO Experiment.PerfCost-fa65: Processed 1930 samples out of 10000, 0 errors
00:15:26,891 INFO Experiment.PerfCost-fa65: Processed 1940 samples out of 10000, 0 errors
00:15:37,74 INFO Experiment.PerfCost-fa65: Processed 1950 samples out of 10000, 0 errors
00:15:47,274 INFO Experiment.PerfCost-fa65: Processed 1960 samples out of 10000, 0 errors
00:15:57,447 INFO Experiment.PerfCost-fa65: Processed 1970 samples out of 10000, 0 errors
00:16:07,627 INFO Experiment.PerfCost-fa65: Processed 1980 samples out of 10000, 0 errors
00:16:17,812 INFO Experiment.PerfCost-fa65: Processed 1990 samples out of 10000, 0 errors
00:16:27,996 INFO Experiment.PerfCost-fa65: Processed 2000 samples out of 10000, 0 errors
00:16:38,171 INFO Experiment.PerfCost-fa65: Processed 2010 samples out of 10000, 0 errors
00:16:48,355 INFO Experiment.PerfCost-fa65: Processed 2020 samples out of 10000, 0 errors
00:16:58,545 INFO Experiment.PerfCost-fa65: Processed 2030 samples out of 10000, 0 errors
00:17:08,738 INFO Experiment.PerfCost-fa65: Processed 2040 samples out of 10000, 0 errors
00:17:18,923 INFO Experiment.PerfCost-fa65: Processed 2050 samples out of 10000, 0 errors
00:17:29,119 INFO Experiment.PerfCost-fa65: Processed 2060 samples out of 10000, 0 errors
00:17:39,299 INFO Experiment.PerfCost-fa65: Processed 2070 samples out of 10000, 0 errors
00:17:49,497 INFO Experiment.PerfCost-fa65: Processed 2080 samples out of 10000, 0 errors
00:17:59,692 INFO Experiment.PerfCost-fa65: Processed 2090 samples out of 10000, 0 errors
00:18:09,921 INFO Experiment.PerfCost-fa65: Processed 2100 samples out of 10000, 0 errors
00:18:20,107 INFO Experiment.PerfCost-fa65: Processed 2110 samples out of 10000, 0 errors
00:18:30,288 INFO Experiment.PerfCost-fa65: Processed 2120 samples out of 10000, 0 errors
00:18:40,477 INFO Experiment.PerfCost-fa65: Processed 2130 samples out of 10000, 0 errors
00:18:50,665 INFO Experiment.PerfCost-fa65: Processed 2140 samples out of 10000, 0 errors
00:19:00,856 INFO Experiment.PerfCost-fa65: Processed 2150 samples out of 10000, 0 errors
00:19:11,46 INFO Experiment.PerfCost-fa65: Processed 2160 samples out of 10000, 0 errors
