01:32:40,831 INFO SeBS-6b5f: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/640.video-processing-otel
01:32:41,157 INFO OpenWhisk.Resources-6348: Using user-provided configuration of storage for OpenWhisk.
01:32:41,158 INFO OpenWhisk-cf5b: Using existing resource name: fd5e1ae0.
01:32:41,160 INFO Benchmark-726d: Building benchmark 640.video-processing-opentelemetry. Reason: no cached code package.
01:54:52,428 INFO Experiment.PerfCost-3479: Processed 940 samples out of 10000, 0 errors
01:55:04,961 INFO Experiment.PerfCost-3479: Processed 950 samples out of 10000, 0 errors
01:55:18,709 INFO Experiment.PerfCost-3479: Processed 960 samples out of 10000, 0 errors
01:55:32,436 INFO Experiment.PerfCost-3479: Processed 970 samples out of 10000, 0 errors
01:55:46,228 INFO Experiment.PerfCost-3479: Processed 980 samples out of 10000, 0 errors
01:55:58,834 INFO Experiment.PerfCost-3479: Processed 990 samples out of 10000, 0 errors
01:56:13,575 INFO Experiment.PerfCost-3479: Processed 1000 samples out of 10000, 0 errors
01:56:28,949 INFO Experiment.PerfCost-3479: Processed 1010 samples out of 10000, 0 errors
01:56:42,737 INFO Experiment.PerfCost-3479: Processed 1020 samples out of 10000, 0 errors
01:56:57,279 INFO Experiment.PerfCost-3479: Processed 1030 samples out of 10000, 0 errors
01:57:11,38 INFO Experiment.PerfCost-3479: Processed 1040 samples out of 10000, 0 errors
01:57:24,817 INFO Experiment.PerfCost-3479: Processed 1050 samples out of 10000, 0 errors
01:57:38,552 INFO Experiment.PerfCost-3479: Processed 1060 samples out of 10000, 0 errors
01:57:52,297 INFO Experiment.PerfCost-3479: Processed 1070 samples out of 10000, 0 errors
01:58:06,990 INFO Experiment.PerfCost-3479: Processed 1080 samples out of 10000, 0 errors
01:58:19,528 INFO Experiment.PerfCost-3479: Processed 1090 samples out of 10000, 0 errors
01:58:34,284 INFO Experiment.PerfCost-3479: Processed 1100 samples out of 10000, 0 errors
01:58:48,21 INFO Experiment.PerfCost-3479: Processed 1110 samples out of 10000, 0 errors
01:59:02,497 INFO Experiment.PerfCost-3479: Processed 1120 samples out of 10000, 0 errors
01:59:16,214 INFO Experiment.PerfCost-3479: Processed 1130 samples out of 10000, 0 errors
01:59:29,981 INFO Experiment.PerfCost-3479: Processed 1140 samples out of 10000, 0 errors
01:59:43,688 INFO Experiment.PerfCost-3479: Processed 1150 samples out of 10000, 0 errors
01:59:57,457 INFO Experiment.PerfCost-3479: Processed 1160 samples out of 10000, 0 errors
02:00:11,945 INFO Experiment.PerfCost-3479: Processed 1170 samples out of 10000, 0 errors
02:00:24,400 INFO Experiment.PerfCost-3479: Processed 1180 samples out of 10000, 0 errors
02:00:38,146 INFO Experiment.PerfCost-3479: Processed 1190 samples out of 10000, 0 errors
02:00:51,897 INFO Experiment.PerfCost-3479: Processed 1200 samples out of 10000, 0 errors
02:01:05,633 INFO Experiment.PerfCost-3479: Processed 1210 samples out of 10000, 0 errors
