15:17:11,158 INFO Experiment.PerfCost-eae5: Processed 1580 samples out of 10000, 0 errors
15:17:21,272 INFO Experiment.PerfCost-eae5: Processed 1590 samples out of 10000, 0 errors
15:17:31,406 INFO Experiment.PerfCost-eae5: Processed 1600 samples out of 10000, 0 errors
15:17:41,512 INFO Experiment.PerfCost-eae5: Processed 1610 samples out of 10000, 0 errors
15:17:51,656 INFO Experiment.PerfCost-eae5: Processed 1620 samples out of 10000, 0 errors
15:18:01,784 INFO Experiment.PerfCost-eae5: Processed 1630 samples out of 10000, 0 errors
15:18:11,923 INFO Experiment.PerfCost-eae5: Processed 1640 samples out of 10000, 0 errors
15:18:22,65 INFO Experiment.PerfCost-eae5: Processed 1650 samples out of 10000, 0 errors
15:18:32,184 INFO Experiment.PerfCost-eae5: Processed 1660 samples out of 10000, 0 errors
15:18:42,308 INFO Experiment.PerfCost-eae5: Processed 1670 samples out of 10000, 0 errors
15:18:52,426 INFO Experiment.PerfCost-eae5: Processed 1680 samples out of 10000, 0 errors
15:19:02,571 INFO Experiment.PerfCost-eae5: Processed 1690 samples out of 10000, 0 errors
15:19:12,720 INFO Experiment.PerfCost-eae5: Processed 1700 samples out of 10000, 0 errors
15:19:22,864 INFO Experiment.PerfCost-eae5: Processed 1710 samples out of 10000, 0 errors
15:19:32,984 INFO Experiment.PerfCost-eae5: Processed 1720 samples out of 10000, 0 errors
15:19:43,120 INFO Experiment.PerfCost-eae5: Processed 1730 samples out of 10000, 0 errors
15:19:53,263 INFO Experiment.PerfCost-eae5: Processed 1740 samples out of 10000, 0 errors
15:20:03,386 INFO Experiment.PerfCost-eae5: Processed 1750 samples out of 10000, 0 errors
15:20:13,499 INFO Experiment.PerfCost-eae5: Processed 1760 samples out of 10000, 0 errors
15:20:23,628 INFO Experiment.PerfCost-eae5: Processed 1770 samples out of 10000, 0 errors
15:20:33,753 INFO Experiment.PerfCost-eae5: Processed 1780 samples out of 10000, 0 errors
15:20:43,845 INFO Experiment.PerfCost-eae5: Processed 1790 samples out of 10000, 0 errors
15:20:54,19 INFO Experiment.PerfCost-eae5: Processed 1800 samples out of 10000, 0 errors
15:21:04,122 INFO Experiment.PerfCost-eae5: Processed 1810 samples out of 10000, 0 errors
15:21:14,246 INFO Experiment.PerfCost-eae5: Processed 1820 samples out of 10000, 0 errors
15:21:24,370 INFO Experiment.PerfCost-eae5: Processed 1830 samples out of 10000, 0 errors
15:21:34,493 INFO Experiment.PerfCost-eae5: Processed 1840 samples out of 10000, 0 errors
15:21:44,609 INFO Experiment.PerfCost-eae5: Processed 1850 samples out of 10000, 0 errors
15:21:54,748 INFO Experiment.PerfCost-eae5: Processed 1860 samples out of 10000, 0 errors
15:22:04,845 INFO Experiment.PerfCost-eae5: Processed 1870 samples out of 10000, 0 errors
15:22:14,970 INFO Experiment.PerfCost-eae5: Processed 1880 samples out of 10000, 0 errors
15:22:25,105 INFO Experiment.PerfCost-eae5: Processed 1890 samples out of 10000, 0 errors
15:22:35,219 INFO Experiment.PerfCost-eae5: Processed 1900 samples out of 10000, 0 errors
15:22:45,328 INFO Experiment.PerfCost-eae5: Processed 1910 samples out of 10000, 0 errors
15:22:55,433 INFO Experiment.PerfCost-eae5: Processed 1920 samples out of 10000, 0 errors
15:23:05,555 INFO Experiment.PerfCost-eae5: Processed 1930 samples out of 10000, 0 errors
15:23:15,690 INFO Experiment.PerfCost-eae5: Processed 1940 samples out of 10000, 0 errors
15:23:25,856 INFO Experiment.PerfCost-eae5: Processed 1950 samples out of 10000, 0 errors
15:23:35,996 INFO Experiment.PerfCost-eae5: Processed 1960 samples out of 10000, 0 errors
15:23:46,108 INFO Experiment.PerfCost-eae5: Processed 1970 samples out of 10000, 0 errors
15:23:56,224 INFO Experiment.PerfCost-eae5: Processed 1980 samples out of 10000, 0 errors
15:24:06,362 INFO Experiment.PerfCost-eae5: Processed 1990 samples out of 10000, 0 errors
15:24:16,490 INFO Experiment.PerfCost-eae5: Processed 2000 samples out of 10000, 0 errors
15:24:26,627 INFO Experiment.PerfCost-eae5: Processed 2010 samples out of 10000, 0 errors
15:24:36,752 INFO Experiment.PerfCost-eae5: Processed 2020 samples out of 10000, 0 errors
15:24:46,874 INFO Experiment.PerfCost-eae5: Processed 2030 samples out of 10000, 0 errors
15:24:57,7 INFO Experiment.PerfCost-eae5: Processed 2040 samples out of 10000, 0 errors
15:25:07,144 INFO Experiment.PerfCost-eae5: Processed 2050 samples out of 10000, 0 errors
15:25:17,287 INFO Experiment.PerfCost-eae5: Processed 2060 samples out of 10000, 0 errors
15:25:27,517 INFO Experiment.PerfCost-eae5: Processed 2070 samples out of 10000, 0 errors
15:25:37,611 INFO Experiment.PerfCost-eae5: Processed 2080 samples out of 10000, 0 errors
15:25:47,748 INFO Experiment.PerfCost-eae5: Processed 2090 samples out of 10000, 0 errors
15:25:57,886 INFO Experiment.PerfCost-eae5: Processed 2100 samples out of 10000, 0 errors
15:26:07,999 INFO Experiment.PerfCost-eae5: Processed 2110 samples out of 10000, 0 errors
15:26:18,141 INFO Experiment.PerfCost-eae5: Processed 2120 samples out of 10000, 0 errors
15:26:28,258 INFO Experiment.PerfCost-eae5: Processed 2130 samples out of 10000, 0 errors
15:26:38,384 INFO Experiment.PerfCost-eae5: Processed 2140 samples out of 10000, 0 errors
15:26:48,526 INFO Experiment.PerfCost-eae5: Processed 2150 samples out of 10000, 0 errors
15:26:58,642 INFO Experiment.PerfCost-eae5: Processed 2160 samples out of 10000, 0 errors
15:27:08,819 INFO Experiment.PerfCost-eae5: Processed 2170 samples out of 10000, 0 errors
15:27:18,931 INFO Experiment.PerfCost-eae5: Processed 2180 samples out of 10000, 0 errors
15:27:29,53 INFO Experiment.PerfCost-eae5: Processed 2190 samples out of 10000, 0 errors
15:27:39,206 INFO Experiment.PerfCost-eae5: Processed 2200 samples out of 10000, 0 errors
15:27:49,332 INFO Experiment.PerfCost-eae5: Processed 2210 samples out of 10000, 0 errors
15:27:59,445 INFO Experiment.PerfCost-eae5: Processed 2220 samples out of 10000, 0 errors
15:28:09,574 INFO Experiment.PerfCost-eae5: Processed 2230 samples out of 10000, 0 errors
15:28:19,664 INFO Experiment.PerfCost-eae5: Processed 2240 samples out of 10000, 0 errors
