22:39:52,480 INFO SeBS-1771: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/630.thumbnailer-otel
22:39:52,835 INFO OpenWhisk.Resources-c972: Using user-provided configuration of storage for OpenWhisk.
22:39:52,836 INFO OpenWhisk-685d: Using existing resource name: fd5e1ae0.
22:39:52,838 INFO Benchmark-27df: Building benchmark 630.thumbnailer-opentelemetry. Reason: no cached code package.
22:54:14,67 INFO Experiment.PerfCost-3e8c: Processed 820 samples out of 10000, 0 errors
22:54:24,378 INFO Experiment.PerfCost-3e8c: Processed 830 samples out of 10000, 0 errors
22:54:34,764 INFO Experiment.PerfCost-3e8c: Processed 840 samples out of 10000, 0 errors
22:54:45,82 INFO Experiment.PerfCost-3e8c: Processed 850 samples out of 10000, 0 errors
22:54:55,408 INFO Experiment.PerfCost-3e8c: Processed 860 samples out of 10000, 0 errors
22:55:05,741 INFO Experiment.PerfCost-3e8c: Processed 870 samples out of 10000, 0 errors
22:55:16,84 INFO Experiment.PerfCost-3e8c: Processed 880 samples out of 10000, 0 errors
22:55:26,406 INFO Experiment.PerfCost-3e8c: Processed 890 samples out of 10000, 0 errors
22:55:36,722 INFO Experiment.PerfCost-3e8c: Processed 900 samples out of 10000, 0 errors
22:55:47,44 INFO Experiment.PerfCost-3e8c: Processed 910 samples out of 10000, 0 errors
22:55:57,381 INFO Experiment.PerfCost-3e8c: Processed 920 samples out of 10000, 0 errors
22:56:07,693 INFO Experiment.PerfCost-3e8c: Processed 930 samples out of 10000, 0 errors
22:56:18,12 INFO Experiment.PerfCost-3e8c: Processed 940 samples out of 10000, 0 errors
22:56:28,346 INFO Experiment.PerfCost-3e8c: Processed 950 samples out of 10000, 0 errors
22:56:38,711 INFO Experiment.PerfCost-3e8c: Processed 960 samples out of 10000, 0 errors
22:56:49,35 INFO Experiment.PerfCost-3e8c: Processed 970 samples out of 10000, 0 errors
22:56:59,362 INFO Experiment.PerfCost-3e8c: Processed 980 samples out of 10000, 0 errors
22:57:09,690 INFO Experiment.PerfCost-3e8c: Processed 990 samples out of 10000, 0 errors
22:57:20,18 INFO Experiment.PerfCost-3e8c: Processed 1000 samples out of 10000, 0 errors
22:57:30,341 INFO Experiment.PerfCost-3e8c: Processed 1010 samples out of 10000, 0 errors
22:57:40,682 INFO Experiment.PerfCost-3e8c: Processed 1020 samples out of 10000, 0 errors
22:57:50,995 INFO Experiment.PerfCost-3e8c: Processed 1030 samples out of 10000, 0 errors
22:58:01,337 INFO Experiment.PerfCost-3e8c: Processed 1040 samples out of 10000, 0 errors
22:58:11,670 INFO Experiment.PerfCost-3e8c: Processed 1050 samples out of 10000, 0 errors
22:58:22,9 INFO Experiment.PerfCost-3e8c: Processed 1060 samples out of 10000, 0 errors
22:58:32,335 INFO Experiment.PerfCost-3e8c: Processed 1070 samples out of 10000, 0 errors
22:58:42,660 INFO Experiment.PerfCost-3e8c: Processed 1080 samples out of 10000, 0 errors
22:58:52,998 INFO Experiment.PerfCost-3e8c: Processed 1090 samples out of 10000, 0 errors
22:59:03,326 INFO Experiment.PerfCost-3e8c: Processed 1100 samples out of 10000, 0 errors
22:59:13,645 INFO Experiment.PerfCost-3e8c: Processed 1110 samples out of 10000, 0 errors
22:59:23,972 INFO Experiment.PerfCost-3e8c: Processed 1120 samples out of 10000, 0 errors
22:59:34,297 INFO Experiment.PerfCost-3e8c: Processed 1130 samples out of 10000, 0 errors
22:59:44,626 INFO Experiment.PerfCost-3e8c: Processed 1140 samples out of 10000, 0 errors
22:59:54,962 INFO Experiment.PerfCost-3e8c: Processed 1150 samples out of 10000, 0 errors
23:00:05,293 INFO Experiment.PerfCost-3e8c: Processed 1160 samples out of 10000, 0 errors
23:00:15,641 INFO Experiment.PerfCost-3e8c: Processed 1170 samples out of 10000, 0 errors
23:00:25,973 INFO Experiment.PerfCost-3e8c: Processed 1180 samples out of 10000, 0 errors
23:00:36,323 INFO Experiment.PerfCost-3e8c: Processed 1190 samples out of 10000, 0 errors
23:00:46,649 INFO Experiment.PerfCost-3e8c: Processed 1200 samples out of 10000, 0 errors
23:00:56,996 INFO Experiment.PerfCost-3e8c: Processed 1210 samples out of 10000, 0 errors
23:01:07,318 INFO Experiment.PerfCost-3e8c: Processed 1220 samples out of 10000, 0 errors
23:01:17,650 INFO Experiment.PerfCost-3e8c: Processed 1230 samples out of 10000, 0 errors
23:01:27,992 INFO Experiment.PerfCost-3e8c: Processed 1240 samples out of 10000, 0 errors
23:01:38,341 INFO Experiment.PerfCost-3e8c: Processed 1250 samples out of 10000, 0 errors
23:01:48,710 INFO Experiment.PerfCost-3e8c: Processed 1260 samples out of 10000, 0 errors
23:01:59,48 INFO Experiment.PerfCost-3e8c: Processed 1270 samples out of 10000, 0 errors
23:02:09,385 INFO Experiment.PerfCost-3e8c: Processed 1280 samples out of 10000, 0 errors
23:02:19,709 INFO Experiment.PerfCost-3e8c: Processed 1290 samples out of 10000, 0 errors
23:02:30,36 INFO Experiment.PerfCost-3e8c: Processed 1300 samples out of 10000, 0 errors
23:02:40,370 INFO Experiment.PerfCost-3e8c: Processed 1310 samples out of 10000, 0 errors
23:02:50,706 INFO Experiment.PerfCost-3e8c: Processed 1320 samples out of 10000, 0 errors
23:03:01,49 INFO Experiment.PerfCost-3e8c: Processed 1330 samples out of 10000, 0 errors
23:03:11,379 INFO Experiment.PerfCost-3e8c: Processed 1340 samples out of 10000, 0 errors
23:03:21,708 INFO Experiment.PerfCost-3e8c: Processed 1350 samples out of 10000, 0 errors
23:03:32,64 INFO Experiment.PerfCost-3e8c: Processed 1360 samples out of 10000, 0 errors
23:03:42,396 INFO Experiment.PerfCost-3e8c: Processed 1370 samples out of 10000, 0 errors
23:03:52,730 INFO Experiment.PerfCost-3e8c: Processed 1380 samples out of 10000, 0 errors
23:04:03,64 INFO Experiment.PerfCost-3e8c: Processed 1390 samples out of 10000, 0 errors
23:04:13,389 INFO Experiment.PerfCost-3e8c: Processed 1400 samples out of 10000, 0 errors
23:04:23,733 INFO Experiment.PerfCost-3e8c: Processed 1410 samples out of 10000, 0 errors
23:04:34,76 INFO Experiment.PerfCost-3e8c: Processed 1420 samples out of 10000, 0 errors
23:04:44,401 INFO Experiment.PerfCost-3e8c: Processed 1430 samples out of 10000, 0 errors
23:04:54,740 INFO Experiment.PerfCost-3e8c: Processed 1440 samples out of 10000, 0 errors
23:05:05,67 INFO Experiment.PerfCost-3e8c: Processed 1450 samples out of 10000, 0 errors
23:05:15,400 INFO Experiment.PerfCost-3e8c: Processed 1460 samples out of 10000, 0 errors
23:05:25,731 INFO Experiment.PerfCost-3e8c: Processed 1470 samples out of 10000, 0 errors
23:05:36,63 INFO Experiment.PerfCost-3e8c: Processed 1480 samples out of 10000, 0 errors
23:05:46,393 INFO Experiment.PerfCost-3e8c: Processed 1490 samples out of 10000, 0 errors
