language,configuration,endpoint,container_id,host,targetRPS,CPU,experiment_id
python,otel,db,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,150,83.02888061873702,3d428c5e-6569-4924-9000-303981b44151
java,elastic,updates,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,900,75.4051467257381,3d428c5e-6569-4924-9000-303981b44151
java,otel,db,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,1400,75.68675256983606,3d428c5e-6569-4924-9000-303981b44151
python,elastic,json,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,200,75.3760801471804,3d428c5e-6569-4924-9000-303981b44151
go,elastic,json,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,2650,76.3415297265976,3d428c5e-6569-4924-9000-303981b44151
go,elastic,updates,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,250,99.22178718102327,3d428c5e-6569-4924-9000-303981b44151
java,elastic,json,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,2850,75.26844772981279,3d428c5e-6569-4924-9000-303981b44151
java,standard,db,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,2050,77.15434886142299,3d428c5e-6569-4924-9000-303981b44151
java,standard,json,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,4050,76.08248867863573,3d428c5e-6569-4924-9000-303981b44151
go,standard,db,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,250,101.80278494457383,3d428c5e-6569-4924-9000-303981b44151
python,elastic,queries,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,25,78.58814126202762,3d428c5e-6569-4924-9000-303981b44151
go,standard,updates,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,250,101.00015572916656,3d428c5e-6569-4924-9000-303981b44151
python,elastic,json,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,200,75.52088220431273,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
python,standard,queries,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,50,86.65579765037397,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,otel,json,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,2825,75.2870562745058,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
go,otel,updates,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,200,101.26851285999876,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,elastic,updates,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,950,80.2268776730346,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,standard,json,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,3850,75.69044323329041,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,standard,queries,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,450,101.23795473761005,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
go,elastic,db,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,300,101.74272121806929,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,otel,updates,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,900,79.85602298585249,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
