22:39:25,509 INFO SeBS-4c50: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/640.video-processing-otel
22:39:25,857 INFO OpenWhisk.Resources-8467: Using user-provided configuration of storage for OpenWhisk.
22:39:25,858 INFO OpenWhisk-79fb: Using existing resource name: 8504288e.
22:39:25,862 INFO Benchmark-689a: Building benchmark 640.video-processing-opentelemetry. Reason: no cached code package.
22:56:13,604 INFO Experiment.PerfCost-3361: Processed 760 samples out of 10000, 0 errors
22:56:26,531 INFO Experiment.PerfCost-3361: Processed 770 samples out of 10000, 0 errors
22:56:39,427 INFO Experiment.PerfCost-3361: Processed 780 samples out of 10000, 0 errors
22:56:52,196 INFO Experiment.PerfCost-3361: Processed 790 samples out of 10000, 0 errors
22:57:05,90 INFO Experiment.PerfCost-3361: Processed 800 samples out of 10000, 0 errors
22:57:18,89 INFO Experiment.PerfCost-3361: Processed 810 samples out of 10000, 0 errors
22:57:30,905 INFO Experiment.PerfCost-3361: Processed 820 samples out of 10000, 0 errors
22:57:43,774 INFO Experiment.PerfCost-3361: Processed 830 samples out of 10000, 0 errors
22:57:56,676 INFO Experiment.PerfCost-3361: Processed 840 samples out of 10000, 0 errors
22:58:09,494 INFO Experiment.PerfCost-3361: Processed 850 samples out of 10000, 0 errors
22:58:22,351 INFO Experiment.PerfCost-3361: Processed 860 samples out of 10000, 0 errors
22:58:35,65 INFO Experiment.PerfCost-3361: Processed 870 samples out of 10000, 0 errors
22:58:47,840 INFO Experiment.PerfCost-3361: Processed 880 samples out of 10000, 0 errors
22:59:00,791 INFO Experiment.PerfCost-3361: Processed 890 samples out of 10000, 0 errors
22:59:13,713 INFO Experiment.PerfCost-3361: Processed 900 samples out of 10000, 0 errors
22:59:26,457 INFO Experiment.PerfCost-3361: Processed 910 samples out of 10000, 0 errors
22:59:39,391 INFO Experiment.PerfCost-3361: Processed 920 samples out of 10000, 0 errors
22:59:52,168 INFO Experiment.PerfCost-3361: Processed 930 samples out of 10000, 0 errors
23:00:05,225 INFO Experiment.PerfCost-3361: Processed 940 samples out of 10000, 0 errors
23:00:18,113 INFO Experiment.PerfCost-3361: Processed 950 samples out of 10000, 0 errors
23:00:31,55 INFO Experiment.PerfCost-3361: Processed 960 samples out of 10000, 0 errors
23:00:43,833 INFO Experiment.PerfCost-3361: Processed 970 samples out of 10000, 0 errors
23:00:56,750 INFO Experiment.PerfCost-3361: Processed 980 samples out of 10000, 0 errors
23:01:09,633 INFO Experiment.PerfCost-3361: Processed 990 samples out of 10000, 0 errors
23:01:22,490 INFO Experiment.PerfCost-3361: Processed 1000 samples out of 10000, 0 errors
23:01:35,487 INFO Experiment.PerfCost-3361: Processed 1010 samples out of 10000, 0 errors
23:01:48,467 INFO Experiment.PerfCost-3361: Processed 1020 samples out of 10000, 0 errors
23:02:01,435 INFO Experiment.PerfCost-3361: Processed 1030 samples out of 10000, 0 errors
23:02:14,315 INFO Experiment.PerfCost-3361: Processed 1040 samples out of 10000, 0 errors
23:02:27,287 INFO Experiment.PerfCost-3361: Processed 1050 samples out of 10000, 0 errors
23:02:40,275 INFO Experiment.PerfCost-3361: Processed 1060 samples out of 10000, 0 errors
