00:50:29,207 INFO SeBS-4606: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/221.video-processing
00:50:29,553 INFO OpenWhisk.Resources-ca32: Using user-provided configuration of storage for OpenWhisk.
00:50:29,553 INFO OpenWhisk-d0ba: Using existing resource name: 91d37410.
00:50:29,646 INFO Benchmark-6d75: Building benchmark 221.video-processing. Reason: no cached code package.
01:04:58,626 INFO Experiment.PerfCost-bfba: Processed 680 samples out of 10000, 0 errors
01:05:11,111 INFO Experiment.PerfCost-bfba: Processed 690 samples out of 10000, 0 errors
01:05:23,581 INFO Experiment.PerfCost-bfba: Processed 700 samples out of 10000, 0 errors
01:05:35,978 INFO Experiment.PerfCost-bfba: Processed 710 samples out of 10000, 0 errors
01:05:48,366 INFO Experiment.PerfCost-bfba: Processed 720 samples out of 10000, 0 errors
01:06:00,853 INFO Experiment.PerfCost-bfba: Processed 730 samples out of 10000, 0 errors
01:06:13,217 INFO Experiment.PerfCost-bfba: Processed 740 samples out of 10000, 0 errors
01:06:25,679 INFO Experiment.PerfCost-bfba: Processed 750 samples out of 10000, 0 errors
01:06:38,159 INFO Experiment.PerfCost-bfba: Processed 760 samples out of 10000, 0 errors
01:06:50,590 INFO Experiment.PerfCost-bfba: Processed 770 samples out of 10000, 0 errors
01:07:03,123 INFO Experiment.PerfCost-bfba: Processed 780 samples out of 10000, 0 errors
01:07:15,499 INFO Experiment.PerfCost-bfba: Processed 790 samples out of 10000, 0 errors
01:07:27,921 INFO Experiment.PerfCost-bfba: Processed 800 samples out of 10000, 0 errors
01:07:40,325 INFO Experiment.PerfCost-bfba: Processed 810 samples out of 10000, 0 errors
01:07:52,686 INFO Experiment.PerfCost-bfba: Processed 820 samples out of 10000, 0 errors
01:08:05,120 INFO Experiment.PerfCost-bfba: Processed 830 samples out of 10000, 0 errors
01:08:17,513 INFO Experiment.PerfCost-bfba: Processed 840 samples out of 10000, 0 errors
01:08:29,926 INFO Experiment.PerfCost-bfba: Processed 850 samples out of 10000, 0 errors
01:08:42,384 INFO Experiment.PerfCost-bfba: Processed 860 samples out of 10000, 0 errors
01:08:54,856 INFO Experiment.PerfCost-bfba: Processed 870 samples out of 10000, 0 errors
01:09:07,235 INFO Experiment.PerfCost-bfba: Processed 880 samples out of 10000, 0 errors
01:09:19,624 INFO Experiment.PerfCost-bfba: Processed 890 samples out of 10000, 0 errors
01:09:32,4 INFO Experiment.PerfCost-bfba: Processed 900 samples out of 10000, 0 errors
01:09:44,390 INFO Experiment.PerfCost-bfba: Processed 910 samples out of 10000, 0 errors
01:09:56,836 INFO Experiment.PerfCost-bfba: Processed 920 samples out of 10000, 0 errors
01:10:09,232 INFO Experiment.PerfCost-bfba: Processed 930 samples out of 10000, 0 errors
01:10:21,590 INFO Experiment.PerfCost-bfba: Processed 940 samples out of 10000, 0 errors
01:10:33,983 INFO Experiment.PerfCost-bfba: Processed 950 samples out of 10000, 0 errors
01:10:46,377 INFO Experiment.PerfCost-bfba: Processed 960 samples out of 10000, 0 errors
01:10:58,773 INFO Experiment.PerfCost-bfba: Processed 970 samples out of 10000, 0 errors
