23:47:14,226 INFO SeBS-91bf: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/on/instrumented/660.graph-pagerank
23:47:14,557 INFO OpenWhisk.Resources-6a2f: Using user-provided configuration of storage for OpenWhisk.
23:47:14,557 INFO OpenWhisk-4879: Using existing resource name: 8504288e.
23:47:14,561 INFO Benchmark-d60f: Building benchmark 660.graph-pagerank. Reason: no cached code package.
23:59:30,31 INFO Experiment.PerfCost-7e17: Processed 690 samples out of 10000, 0 errors
23:59:40,135 INFO Experiment.PerfCost-7e17: Processed 700 samples out of 10000, 0 errors
23:59:50,250 INFO Experiment.PerfCost-7e17: Processed 710 samples out of 10000, 0 errors
00:00:00,358 INFO Experiment.PerfCost-7e17: Processed 720 samples out of 10000, 0 errors
00:00:10,456 INFO Experiment.PerfCost-7e17: Processed 730 samples out of 10000, 0 errors
00:00:20,562 INFO Experiment.PerfCost-7e17: Processed 740 samples out of 10000, 0 errors
00:00:30,654 INFO Experiment.PerfCost-7e17: Processed 750 samples out of 10000, 0 errors
00:00:40,752 INFO Experiment.PerfCost-7e17: Processed 760 samples out of 10000, 0 errors
00:00:50,850 INFO Experiment.PerfCost-7e17: Processed 770 samples out of 10000, 0 errors
00:01:00,952 INFO Experiment.PerfCost-7e17: Processed 780 samples out of 10000, 0 errors
00:01:11,66 INFO Experiment.PerfCost-7e17: Processed 790 samples out of 10000, 0 errors
00:01:21,165 INFO Experiment.PerfCost-7e17: Processed 800 samples out of 10000, 0 errors
00:01:31,270 INFO Experiment.PerfCost-7e17: Processed 810 samples out of 10000, 0 errors
00:01:41,374 INFO Experiment.PerfCost-7e17: Processed 820 samples out of 10000, 0 errors
00:01:51,483 INFO Experiment.PerfCost-7e17: Processed 830 samples out of 10000, 0 errors
00:02:01,590 INFO Experiment.PerfCost-7e17: Processed 840 samples out of 10000, 0 errors
00:02:11,683 INFO Experiment.PerfCost-7e17: Processed 850 samples out of 10000, 0 errors
00:02:21,790 INFO Experiment.PerfCost-7e17: Processed 860 samples out of 10000, 0 errors
00:02:31,923 INFO Experiment.PerfCost-7e17: Processed 870 samples out of 10000, 0 errors
00:02:42,112 INFO Experiment.PerfCost-7e17: Processed 880 samples out of 10000, 0 errors
00:02:52,220 INFO Experiment.PerfCost-7e17: Processed 890 samples out of 10000, 0 errors
00:03:02,333 INFO Experiment.PerfCost-7e17: Processed 900 samples out of 10000, 0 errors
00:03:12,441 INFO Experiment.PerfCost-7e17: Processed 910 samples out of 10000, 0 errors
00:03:22,556 INFO Experiment.PerfCost-7e17: Processed 920 samples out of 10000, 0 errors
00:03:32,664 INFO Experiment.PerfCost-7e17: Processed 930 samples out of 10000, 0 errors
00:03:42,773 INFO Experiment.PerfCost-7e17: Processed 940 samples out of 10000, 0 errors
00:03:52,878 INFO Experiment.PerfCost-7e17: Processed 950 samples out of 10000, 0 errors
00:04:02,993 INFO Experiment.PerfCost-7e17: Processed 960 samples out of 10000, 0 errors
00:04:13,94 INFO Experiment.PerfCost-7e17: Processed 970 samples out of 10000, 0 errors
00:04:23,190 INFO Experiment.PerfCost-7e17: Processed 980 samples out of 10000, 0 errors
00:04:33,307 INFO Experiment.PerfCost-7e17: Processed 990 samples out of 10000, 0 errors
00:04:43,415 INFO Experiment.PerfCost-7e17: Processed 1000 samples out of 10000, 0 errors
00:04:53,530 INFO Experiment.PerfCost-7e17: Processed 1010 samples out of 10000, 0 errors
00:05:03,634 INFO Experiment.PerfCost-7e17: Processed 1020 samples out of 10000, 0 errors
00:05:13,757 INFO Experiment.PerfCost-7e17: Processed 1030 samples out of 10000, 0 errors
00:05:23,855 INFO Experiment.PerfCost-7e17: Processed 1040 samples out of 10000, 0 errors
00:05:33,964 INFO Experiment.PerfCost-7e17: Processed 1050 samples out of 10000, 0 errors
00:05:44,74 INFO Experiment.PerfCost-7e17: Processed 1060 samples out of 10000, 0 errors
00:05:54,171 INFO Experiment.PerfCost-7e17: Processed 1070 samples out of 10000, 0 errors
00:06:04,279 INFO Experiment.PerfCost-7e17: Processed 1080 samples out of 10000, 0 errors
00:06:14,387 INFO Experiment.PerfCost-7e17: Processed 1090 samples out of 10000, 0 errors
00:06:24,482 INFO Experiment.PerfCost-7e17: Processed 1100 samples out of 10000, 0 errors
00:06:34,584 INFO Experiment.PerfCost-7e17: Processed 1110 samples out of 10000, 0 errors
00:06:44,712 INFO Experiment.PerfCost-7e17: Processed 1120 samples out of 10000, 0 errors
00:06:54,830 INFO Experiment.PerfCost-7e17: Processed 1130 samples out of 10000, 0 errors
00:07:04,972 INFO Experiment.PerfCost-7e17: Processed 1140 samples out of 10000, 0 errors
00:07:15,97 INFO Experiment.PerfCost-7e17: Processed 1150 samples out of 10000, 0 errors
00:07:25,245 INFO Experiment.PerfCost-7e17: Processed 1160 samples out of 10000, 0 errors
00:07:35,368 INFO Experiment.PerfCost-7e17: Processed 1170 samples out of 10000, 0 errors
00:07:45,510 INFO Experiment.PerfCost-7e17: Processed 1180 samples out of 10000, 0 errors
00:07:55,620 INFO Experiment.PerfCost-7e17: Processed 1190 samples out of 10000, 0 errors
00:08:05,743 INFO Experiment.PerfCost-7e17: Processed 1200 samples out of 10000, 0 errors
00:08:15,853 INFO Experiment.PerfCost-7e17: Processed 1210 samples out of 10000, 0 errors
00:08:25,962 INFO Experiment.PerfCost-7e17: Processed 1220 samples out of 10000, 0 errors
00:08:36,82 INFO Experiment.PerfCost-7e17: Processed 1230 samples out of 10000, 0 errors
00:08:46,203 INFO Experiment.PerfCost-7e17: Processed 1240 samples out of 10000, 0 errors
00:08:56,328 INFO Experiment.PerfCost-7e17: Processed 1250 samples out of 10000, 0 errors
00:09:06,454 INFO Experiment.PerfCost-7e17: Processed 1260 samples out of 10000, 0 errors
00:09:16,565 INFO Experiment.PerfCost-7e17: Processed 1270 samples out of 10000, 0 errors
00:09:26,698 INFO Experiment.PerfCost-7e17: Processed 1280 samples out of 10000, 0 errors
00:09:36,848 INFO Experiment.PerfCost-7e17: Processed 1290 samples out of 10000, 0 errors
00:09:46,963 INFO Experiment.PerfCost-7e17: Processed 1300 samples out of 10000, 0 errors
00:09:57,115 INFO Experiment.PerfCost-7e17: Processed 1310 samples out of 10000, 0 errors
00:10:07,224 INFO Experiment.PerfCost-7e17: Processed 1320 samples out of 10000, 0 errors
00:10:17,354 INFO Experiment.PerfCost-7e17: Processed 1330 samples out of 10000, 0 errors
00:10:27,457 INFO Experiment.PerfCost-7e17: Processed 1340 samples out of 10000, 0 errors
00:10:37,593 INFO Experiment.PerfCost-7e17: Processed 1350 samples out of 10000, 0 errors
00:10:47,708 INFO Experiment.PerfCost-7e17: Processed 1360 samples out of 10000, 0 errors
00:10:57,845 INFO Experiment.PerfCost-7e17: Processed 1370 samples out of 10000, 0 errors
00:11:07,967 INFO Experiment.PerfCost-7e17: Processed 1380 samples out of 10000, 0 errors
00:11:18,85 INFO Experiment.PerfCost-7e17: Processed 1390 samples out of 10000, 0 errors
00:11:28,220 INFO Experiment.PerfCost-7e17: Processed 1400 samples out of 10000, 0 errors
00:11:38,346 INFO Experiment.PerfCost-7e17: Processed 1410 samples out of 10000, 0 errors
00:11:48,447 INFO Experiment.PerfCost-7e17: Processed 1420 samples out of 10000, 0 errors
00:11:58,612 INFO Experiment.PerfCost-7e17: Processed 1430 samples out of 10000, 0 errors
00:12:08,727 INFO Experiment.PerfCost-7e17: Processed 1440 samples out of 10000, 0 errors
00:12:18,844 INFO Experiment.PerfCost-7e17: Processed 1450 samples out of 10000, 0 errors
00:12:28,971 INFO Experiment.PerfCost-7e17: Processed 1460 samples out of 10000, 0 errors
00:12:39,128 INFO Experiment.PerfCost-7e17: Processed 1470 samples out of 10000, 0 errors
00:12:49,246 INFO Experiment.PerfCost-7e17: Processed 1480 samples out of 10000, 0 errors
00:12:59,355 INFO Experiment.PerfCost-7e17: Processed 1490 samples out of 10000, 0 errors
00:13:09,523 INFO Experiment.PerfCost-7e17: Processed 1500 samples out of 10000, 0 errors
00:13:19,618 INFO Experiment.PerfCost-7e17: Processed 1510 samples out of 10000, 0 errors
00:13:29,721 INFO Experiment.PerfCost-7e17: Processed 1520 samples out of 10000, 0 errors
00:13:39,852 INFO Experiment.PerfCost-7e17: Processed 1530 samples out of 10000, 0 errors
00:13:49,967 INFO Experiment.PerfCost-7e17: Processed 1540 samples out of 10000, 0 errors
00:14:00,113 INFO Experiment.PerfCost-7e17: Processed 1550 samples out of 10000, 0 errors
00:14:10,231 INFO Experiment.PerfCost-7e17: Processed 1560 samples out of 10000, 0 errors
00:14:20,331 INFO Experiment.PerfCost-7e17: Processed 1570 samples out of 10000, 0 errors
00:14:30,459 INFO Experiment.PerfCost-7e17: Processed 1580 samples out of 10000, 0 errors
00:14:40,607 INFO Experiment.PerfCost-7e17: Processed 1590 samples out of 10000, 0 errors
00:14:50,722 INFO Experiment.PerfCost-7e17: Processed 1600 samples out of 10000, 0 errors
00:15:00,845 INFO Experiment.PerfCost-7e17: Processed 1610 samples out of 10000, 0 errors
00:15:10,972 INFO Experiment.PerfCost-7e17: Processed 1620 samples out of 10000, 0 errors
00:15:21,91 INFO Experiment.PerfCost-7e17: Processed 1630 samples out of 10000, 0 errors
00:15:31,212 INFO Experiment.PerfCost-7e17: Processed 1640 samples out of 10000, 0 errors
00:15:41,324 INFO Experiment.PerfCost-7e17: Processed 1650 samples out of 10000, 0 errors
00:15:51,487 INFO Experiment.PerfCost-7e17: Processed 1660 samples out of 10000, 0 errors
00:16:01,601 INFO Experiment.PerfCost-7e17: Processed 1670 samples out of 10000, 0 errors
00:16:11,754 INFO Experiment.PerfCost-7e17: Processed 1680 samples out of 10000, 0 errors
00:16:21,860 INFO Experiment.PerfCost-7e17: Processed 1690 samples out of 10000, 0 errors
00:16:31,978 INFO Experiment.PerfCost-7e17: Processed 1700 samples out of 10000, 0 errors
00:16:42,112 INFO Experiment.PerfCost-7e17: Processed 1710 samples out of 10000, 0 errors
00:16:52,242 INFO Experiment.PerfCost-7e17: Processed 1720 samples out of 10000, 0 errors
00:17:02,358 INFO Experiment.PerfCost-7e17: Processed 1730 samples out of 10000, 0 errors
00:17:12,473 INFO Experiment.PerfCost-7e17: Processed 1740 samples out of 10000, 0 errors
00:17:22,612 INFO Experiment.PerfCost-7e17: Processed 1750 samples out of 10000, 0 errors
00:17:32,706 INFO Experiment.PerfCost-7e17: Processed 1760 samples out of 10000, 0 errors
00:17:42,862 INFO Experiment.PerfCost-7e17: Processed 1770 samples out of 10000, 0 errors
00:17:52,986 INFO Experiment.PerfCost-7e17: Processed 1780 samples out of 10000, 0 errors
00:18:03,82 INFO Experiment.PerfCost-7e17: Processed 1790 samples out of 10000, 0 errors
00:18:13,229 INFO Experiment.PerfCost-7e17: Processed 1800 samples out of 10000, 0 errors
00:18:23,320 INFO Experiment.PerfCost-7e17: Processed 1810 samples out of 10000, 0 errors
00:18:33,442 INFO Experiment.PerfCost-7e17: Processed 1820 samples out of 10000, 0 errors
00:18:43,552 INFO Experiment.PerfCost-7e17: Processed 1830 samples out of 10000, 0 errors
00:18:53,665 INFO Experiment.PerfCost-7e17: Processed 1840 samples out of 10000, 0 errors
00:19:03,778 INFO Experiment.PerfCost-7e17: Processed 1850 samples out of 10000, 0 errors
00:19:13,936 INFO Experiment.PerfCost-7e17: Processed 1860 samples out of 10000, 0 errors
00:19:24,50 INFO Experiment.PerfCost-7e17: Processed 1870 samples out of 10000, 0 errors
00:19:34,174 INFO Experiment.PerfCost-7e17: Processed 1880 samples out of 10000, 0 errors
00:19:44,282 INFO Experiment.PerfCost-7e17: Processed 1890 samples out of 10000, 0 errors
00:19:54,398 INFO Experiment.PerfCost-7e17: Processed 1900 samples out of 10000, 0 errors
00:20:04,537 INFO Experiment.PerfCost-7e17: Processed 1910 samples out of 10000, 0 errors
00:20:14,634 INFO Experiment.PerfCost-7e17: Processed 1920 samples out of 10000, 0 errors
00:20:24,756 INFO Experiment.PerfCost-7e17: Processed 1930 samples out of 10000, 0 errors
00:20:34,903 INFO Experiment.PerfCost-7e17: Processed 1940 samples out of 10000, 0 errors
