02:14:56,528 INFO SeBS-ac33: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/660.graph-pagerank
02:14:56,873 INFO OpenWhisk.Resources-6ab7: Using user-provided configuration of storage for OpenWhisk.
02:14:56,873 INFO OpenWhisk-dcbe: Using existing resource name: 8504288e.
02:14:56,877 INFO Benchmark-b382: Building benchmark 660.graph-pagerank. Reason: no cached code package.
02:28:27,668 INFO Experiment.PerfCost-b181: Processed 790 samples out of 10000, 0 errors
02:28:37,777 INFO Experiment.PerfCost-b181: Processed 800 samples out of 10000, 0 errors
02:28:47,875 INFO Experiment.PerfCost-b181: Processed 810 samples out of 10000, 0 errors
02:28:57,979 INFO Experiment.PerfCost-b181: Processed 820 samples out of 10000, 0 errors
02:29:08,88 INFO Experiment.PerfCost-b181: Processed 830 samples out of 10000, 0 errors
02:29:18,191 INFO Experiment.PerfCost-b181: Processed 840 samples out of 10000, 0 errors
02:29:28,281 INFO Experiment.PerfCost-b181: Processed 850 samples out of 10000, 0 errors
02:29:38,385 INFO Experiment.PerfCost-b181: Processed 860 samples out of 10000, 0 errors
02:29:48,486 INFO Experiment.PerfCost-b181: Processed 870 samples out of 10000, 0 errors
02:29:58,588 INFO Experiment.PerfCost-b181: Processed 880 samples out of 10000, 0 errors
02:30:08,684 INFO Experiment.PerfCost-b181: Processed 890 samples out of 10000, 0 errors
02:30:18,789 INFO Experiment.PerfCost-b181: Processed 900 samples out of 10000, 0 errors
02:30:28,888 INFO Experiment.PerfCost-b181: Processed 910 samples out of 10000, 0 errors
02:30:38,993 INFO Experiment.PerfCost-b181: Processed 920 samples out of 10000, 0 errors
02:30:49,89 INFO Experiment.PerfCost-b181: Processed 930 samples out of 10000, 0 errors
02:30:59,190 INFO Experiment.PerfCost-b181: Processed 940 samples out of 10000, 0 errors
02:31:09,287 INFO Experiment.PerfCost-b181: Processed 950 samples out of 10000, 0 errors
02:31:19,384 INFO Experiment.PerfCost-b181: Processed 960 samples out of 10000, 0 errors
02:31:29,484 INFO Experiment.PerfCost-b181: Processed 970 samples out of 10000, 0 errors
02:31:39,598 INFO Experiment.PerfCost-b181: Processed 980 samples out of 10000, 0 errors
02:31:49,690 INFO Experiment.PerfCost-b181: Processed 990 samples out of 10000, 0 errors
02:31:59,788 INFO Experiment.PerfCost-b181: Processed 1000 samples out of 10000, 0 errors
02:32:09,890 INFO Experiment.PerfCost-b181: Processed 1010 samples out of 10000, 0 errors
02:32:19,995 INFO Experiment.PerfCost-b181: Processed 1020 samples out of 10000, 0 errors
02:32:30,90 INFO Experiment.PerfCost-b181: Processed 1030 samples out of 10000, 0 errors
02:32:40,179 INFO Experiment.PerfCost-b181: Processed 1040 samples out of 10000, 0 errors
02:32:50,309 INFO Experiment.PerfCost-b181: Processed 1050 samples out of 10000, 0 errors
02:33:00,415 INFO Experiment.PerfCost-b181: Processed 1060 samples out of 10000, 0 errors
02:33:10,524 INFO Experiment.PerfCost-b181: Processed 1070 samples out of 10000, 0 errors
02:33:20,631 INFO Experiment.PerfCost-b181: Processed 1080 samples out of 10000, 0 errors
02:33:30,730 INFO Experiment.PerfCost-b181: Processed 1090 samples out of 10000, 0 errors
02:33:40,834 INFO Experiment.PerfCost-b181: Processed 1100 samples out of 10000, 0 errors
02:33:50,946 INFO Experiment.PerfCost-b181: Processed 1110 samples out of 10000, 0 errors
02:34:01,47 INFO Experiment.PerfCost-b181: Processed 1120 samples out of 10000, 0 errors
02:34:11,160 INFO Experiment.PerfCost-b181: Processed 1130 samples out of 10000, 0 errors
02:34:21,268 INFO Experiment.PerfCost-b181: Processed 1140 samples out of 10000, 0 errors
02:34:31,363 INFO Experiment.PerfCost-b181: Processed 1150 samples out of 10000, 0 errors
02:34:41,462 INFO Experiment.PerfCost-b181: Processed 1160 samples out of 10000, 0 errors
02:34:51,570 INFO Experiment.PerfCost-b181: Processed 1170 samples out of 10000, 0 errors
02:35:01,694 INFO Experiment.PerfCost-b181: Processed 1180 samples out of 10000, 0 errors
02:35:11,786 INFO Experiment.PerfCost-b181: Processed 1190 samples out of 10000, 0 errors
02:35:21,934 INFO Experiment.PerfCost-b181: Processed 1200 samples out of 10000, 0 errors
02:35:32,33 INFO Experiment.PerfCost-b181: Processed 1210 samples out of 10000, 0 errors
02:35:42,126 INFO Experiment.PerfCost-b181: Processed 1220 samples out of 10000, 0 errors
02:35:52,221 INFO Experiment.PerfCost-b181: Processed 1230 samples out of 10000, 0 errors
02:36:02,341 INFO Experiment.PerfCost-b181: Processed 1240 samples out of 10000, 0 errors
02:36:12,446 INFO Experiment.PerfCost-b181: Processed 1250 samples out of 10000, 0 errors
02:36:22,541 INFO Experiment.PerfCost-b181: Processed 1260 samples out of 10000, 0 errors
02:36:32,650 INFO Experiment.PerfCost-b181: Processed 1270 samples out of 10000, 0 errors
02:36:42,763 INFO Experiment.PerfCost-b181: Processed 1280 samples out of 10000, 0 errors
02:36:52,855 INFO Experiment.PerfCost-b181: Processed 1290 samples out of 10000, 0 errors
02:37:02,952 INFO Experiment.PerfCost-b181: Processed 1300 samples out of 10000, 0 errors
02:37:13,51 INFO Experiment.PerfCost-b181: Processed 1310 samples out of 10000, 0 errors
02:37:23,163 INFO Experiment.PerfCost-b181: Processed 1320 samples out of 10000, 0 errors
02:37:33,262 INFO Experiment.PerfCost-b181: Processed 1330 samples out of 10000, 0 errors
02:37:43,366 INFO Experiment.PerfCost-b181: Processed 1340 samples out of 10000, 0 errors
02:37:53,485 INFO Experiment.PerfCost-b181: Processed 1350 samples out of 10000, 0 errors
02:38:03,598 INFO Experiment.PerfCost-b181: Processed 1360 samples out of 10000, 0 errors
02:38:13,695 INFO Experiment.PerfCost-b181: Processed 1370 samples out of 10000, 0 errors
02:38:23,825 INFO Experiment.PerfCost-b181: Processed 1380 samples out of 10000, 0 errors
02:38:33,925 INFO Experiment.PerfCost-b181: Processed 1390 samples out of 10000, 0 errors
02:38:44,29 INFO Experiment.PerfCost-b181: Processed 1400 samples out of 10000, 0 errors
02:38:54,126 INFO Experiment.PerfCost-b181: Processed 1410 samples out of 10000, 0 errors
02:39:04,215 INFO Experiment.PerfCost-b181: Processed 1420 samples out of 10000, 0 errors
02:39:14,330 INFO Experiment.PerfCost-b181: Processed 1430 samples out of 10000, 0 errors
02:39:24,426 INFO Experiment.PerfCost-b181: Processed 1440 samples out of 10000, 0 errors
02:39:34,529 INFO Experiment.PerfCost-b181: Processed 1450 samples out of 10000, 0 errors
02:39:44,631 INFO Experiment.PerfCost-b181: Processed 1460 samples out of 10000, 0 errors
02:39:54,736 INFO Experiment.PerfCost-b181: Processed 1470 samples out of 10000, 0 errors
02:40:04,843 INFO Experiment.PerfCost-b181: Processed 1480 samples out of 10000, 0 errors
02:40:14,952 INFO Experiment.PerfCost-b181: Processed 1490 samples out of 10000, 0 errors
02:40:25,56 INFO Experiment.PerfCost-b181: Processed 1500 samples out of 10000, 0 errors
02:40:35,160 INFO Experiment.PerfCost-b181: Processed 1510 samples out of 10000, 0 errors
02:40:45,262 INFO Experiment.PerfCost-b181: Processed 1520 samples out of 10000, 0 errors
02:40:55,352 INFO Experiment.PerfCost-b181: Processed 1530 samples out of 10000, 0 errors
02:41:05,451 INFO Experiment.PerfCost-b181: Processed 1540 samples out of 10000, 0 errors
02:41:15,561 INFO Experiment.PerfCost-b181: Processed 1550 samples out of 10000, 0 errors
02:41:25,663 INFO Experiment.PerfCost-b181: Processed 1560 samples out of 10000, 0 errors
02:41:35,770 INFO Experiment.PerfCost-b181: Processed 1570 samples out of 10000, 0 errors
02:41:45,867 INFO Experiment.PerfCost-b181: Processed 1580 samples out of 10000, 0 errors
