09:38:56,591 INFO SeBS-5b25: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/650.compression-otel
09:38:56,909 INFO OpenWhisk.Resources-b432: Using user-provided configuration of storage for OpenWhisk.
09:55:15,935 INFO Experiment.PerfCost-5d88: Processed 810 samples out of 10000, 0 errors
09:55:27,898 INFO Experiment.PerfCost-5d88: Processed 820 samples out of 10000, 0 errors
09:55:39,838 INFO Experiment.PerfCost-5d88: Processed 830 samples out of 10000, 0 errors
09:55:51,765 INFO Experiment.PerfCost-5d88: Processed 840 samples out of 10000, 0 errors
09:56:03,683 INFO Experiment.PerfCost-5d88: Processed 850 samples out of 10000, 0 errors
09:56:15,555 INFO Experiment.PerfCost-5d88: Processed 860 samples out of 10000, 0 errors
09:56:27,472 INFO Experiment.PerfCost-5d88: Processed 870 samples out of 10000, 0 errors
09:56:39,412 INFO Experiment.PerfCost-5d88: Processed 880 samples out of 10000, 0 errors
09:56:51,379 INFO Experiment.PerfCost-5d88: Processed 890 samples out of 10000, 0 errors
09:57:03,376 INFO Experiment.PerfCost-5d88: Processed 900 samples out of 10000, 0 errors
09:57:15,320 INFO Experiment.PerfCost-5d88: Processed 910 samples out of 10000, 0 errors
09:57:27,268 INFO Experiment.PerfCost-5d88: Processed 920 samples out of 10000, 0 errors
09:57:39,258 INFO Experiment.PerfCost-5d88: Processed 930 samples out of 10000, 0 errors
09:57:51,167 INFO Experiment.PerfCost-5d88: Processed 940 samples out of 10000, 0 errors
09:58:03,149 INFO Experiment.PerfCost-5d88: Processed 950 samples out of 10000, 0 errors
09:58:15,70 INFO Experiment.PerfCost-5d88: Processed 960 samples out of 10000, 0 errors
09:58:26,984 INFO Experiment.PerfCost-5d88: Processed 970 samples out of 10000, 0 errors
09:58:38,898 INFO Experiment.PerfCost-5d88: Processed 980 samples out of 10000, 0 errors
09:58:50,806 INFO Experiment.PerfCost-5d88: Processed 990 samples out of 10000, 0 errors
09:59:02,714 INFO Experiment.PerfCost-5d88: Processed 1000 samples out of 10000, 0 errors
09:59:14,643 INFO Experiment.PerfCost-5d88: Processed 1010 samples out of 10000, 0 errors
09:59:26,573 INFO Experiment.PerfCost-5d88: Processed 1020 samples out of 10000, 0 errors
09:59:38,573 INFO Experiment.PerfCost-5d88: Processed 1030 samples out of 10000, 0 errors
09:59:50,487 INFO Experiment.PerfCost-5d88: Processed 1040 samples out of 10000, 0 errors
10:00:02,410 INFO Experiment.PerfCost-5d88: Processed 1050 samples out of 10000, 0 errors
10:00:14,397 INFO Experiment.PerfCost-5d88: Processed 1060 samples out of 10000, 0 errors
10:00:26,397 INFO Experiment.PerfCost-5d88: Processed 1070 samples out of 10000, 0 errors
10:00:38,406 INFO Experiment.PerfCost-5d88: Processed 1080 samples out of 10000, 0 errors
10:00:50,393 INFO Experiment.PerfCost-5d88: Processed 1090 samples out of 10000, 0 errors
10:01:02,358 INFO Experiment.PerfCost-5d88: Processed 1100 samples out of 10000, 0 errors
10:01:14,339 INFO Experiment.PerfCost-5d88: Processed 1110 samples out of 10000, 0 errors
10:01:26,270 INFO Experiment.PerfCost-5d88: Processed 1120 samples out of 10000, 0 errors
10:01:38,271 INFO Experiment.PerfCost-5d88: Processed 1130 samples out of 10000, 0 errors
10:01:50,279 INFO Experiment.PerfCost-5d88: Processed 1140 samples out of 10000, 0 errors
10:02:02,256 INFO Experiment.PerfCost-5d88: Processed 1150 samples out of 10000, 0 errors
10:02:14,180 INFO Experiment.PerfCost-5d88: Processed 1160 samples out of 10000, 0 errors
10:02:26,142 INFO Experiment.PerfCost-5d88: Processed 1170 samples out of 10000, 0 errors
10:02:38,95 INFO Experiment.PerfCost-5d88: Processed 1180 samples out of 10000, 0 errors
10:02:50,83 INFO Experiment.PerfCost-5d88: Processed 1190 samples out of 10000, 0 errors
10:03:02,83 INFO Experiment.PerfCost-5d88: Processed 1200 samples out of 10000, 0 errors
10:03:14,47 INFO Experiment.PerfCost-5d88: Processed 1210 samples out of 10000, 0 errors
10:03:26,19 INFO Experiment.PerfCost-5d88: Processed 1220 samples out of 10000, 0 errors
10:03:37,963 INFO Experiment.PerfCost-5d88: Processed 1230 samples out of 10000, 0 errors
10:03:49,953 INFO Experiment.PerfCost-5d88: Processed 1240 samples out of 10000, 0 errors
10:04:01,899 INFO Experiment.PerfCost-5d88: Processed 1250 samples out of 10000, 0 errors
10:04:13,827 INFO Experiment.PerfCost-5d88: Processed 1260 samples out of 10000, 0 errors
10:04:25,765 INFO Experiment.PerfCost-5d88: Processed 1270 samples out of 10000, 0 errors
10:04:37,701 INFO Experiment.PerfCost-5d88: Processed 1280 samples out of 10000, 0 errors
10:04:49,527 INFO Experiment.PerfCost-5d88: Processed 1290 samples out of 10000, 0 errors
