16:39:19,536 INFO Experiment.PerfCost-5cc9: Processed 1140 samples out of 10000, 0 errors
16:39:29,611 INFO Experiment.PerfCost-5cc9: Processed 1150 samples out of 10000, 0 errors
16:39:39,680 INFO Experiment.PerfCost-5cc9: Processed 1160 samples out of 10000, 0 errors
16:39:49,762 INFO Experiment.PerfCost-5cc9: Processed 1170 samples out of 10000, 0 errors
16:39:59,835 INFO Experiment.PerfCost-5cc9: Processed 1180 samples out of 10000, 0 errors
16:40:09,902 INFO Experiment.PerfCost-5cc9: Processed 1190 samples out of 10000, 0 errors
16:40:20,8 INFO Experiment.PerfCost-5cc9: Processed 1200 samples out of 10000, 0 errors
16:40:30,82 INFO Experiment.PerfCost-5cc9: Processed 1210 samples out of 10000, 0 errors
16:40:40,157 INFO Experiment.PerfCost-5cc9: Processed 1220 samples out of 10000, 0 errors
16:40:50,232 INFO Experiment.PerfCost-5cc9: Processed 1230 samples out of 10000, 0 errors
16:41:00,310 INFO Experiment.PerfCost-5cc9: Processed 1240 samples out of 10000, 0 errors
16:41:10,380 INFO Experiment.PerfCost-5cc9: Processed 1250 samples out of 10000, 0 errors
16:41:20,458 INFO Experiment.PerfCost-5cc9: Processed 1260 samples out of 10000, 0 errors
16:41:30,535 INFO Experiment.PerfCost-5cc9: Processed 1270 samples out of 10000, 0 errors
16:41:40,610 INFO Experiment.PerfCost-5cc9: Processed 1280 samples out of 10000, 0 errors
16:41:50,681 INFO Experiment.PerfCost-5cc9: Processed 1290 samples out of 10000, 0 errors
16:42:00,746 INFO Experiment.PerfCost-5cc9: Processed 1300 samples out of 10000, 0 errors
16:42:10,818 INFO Experiment.PerfCost-5cc9: Processed 1310 samples out of 10000, 0 errors
16:42:20,899 INFO Experiment.PerfCost-5cc9: Processed 1320 samples out of 10000, 0 errors
16:42:30,973 INFO Experiment.PerfCost-5cc9: Processed 1330 samples out of 10000, 0 errors
16:42:41,113 INFO Experiment.PerfCost-5cc9: Processed 1340 samples out of 10000, 0 errors
16:42:51,185 INFO Experiment.PerfCost-5cc9: Processed 1350 samples out of 10000, 0 errors
16:43:01,281 INFO Experiment.PerfCost-5cc9: Processed 1360 samples out of 10000, 0 errors
16:43:11,361 INFO Experiment.PerfCost-5cc9: Processed 1370 samples out of 10000, 0 errors
16:43:21,447 INFO Experiment.PerfCost-5cc9: Processed 1380 samples out of 10000, 0 errors
16:43:31,526 INFO Experiment.PerfCost-5cc9: Processed 1390 samples out of 10000, 0 errors
16:43:41,592 INFO Experiment.PerfCost-5cc9: Processed 1400 samples out of 10000, 0 errors
16:43:51,673 INFO Experiment.PerfCost-5cc9: Processed 1410 samples out of 10000, 0 errors
