language,configuration,endpoint,container_id,host,targetRPS,experiment_id
go,elastic,queries,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,400,87bd7728-793b-4ea0-960a-10fb202dc570
go,elastic,updates,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,300,87bd7728-793b-4ea0-960a-10fb202dc570
go,otel,updates,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,200,87bd7728-793b-4ea0-960a-10fb202dc570
go,standard,queries,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,400,87bd7728-793b-4ea0-960a-10fb202dc570
go,elastic,json,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,2100,87bd7728-793b-4ea0-960a-10fb202dc570
go,standard,updates,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,200,87bd7728-793b-4ea0-960a-10fb202dc570
go,standard,json,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,4400,87bd7728-793b-4ea0-960a-10fb202dc570
go,otel,queries,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,300,87bd7728-793b-4ea0-960a-10fb202dc570
go,standard,updates,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,200,87fae1c3-df68-4ce8-adc2-8f1300471476
go,elastic,json,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,2100,87fae1c3-df68-4ce8-adc2-8f1300471476
go,standard,db,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,400,87fae1c3-df68-4ce8-adc2-8f1300471476
go,otel,json,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,1700,87fae1c3-df68-4ce8-adc2-8f1300471476
go,elastic,queries,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,300,87fae1c3-df68-4ce8-adc2-8f1300471476
go,elastic,updates,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,200,87fae1c3-df68-4ce8-adc2-8f1300471476
go,otel,updates,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,200,87fae1c3-df68-4ce8-adc2-8f1300471476
go,standard,queries,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,300,87fae1c3-df68-4ce8-adc2-8f1300471476
go,elastic,db,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,300,87fae1c3-df68-4ce8-adc2-8f1300471476
go,otel,queries,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,300,87fae1c3-df68-4ce8-adc2-8f1300471476
go,standard,json,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,4200,87fae1c3-df68-4ce8-adc2-8f1300471476
