14:00:01,978 INFO SeBS-6439: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/610.dynamic-html-otel
14:00:02,334 INFO OpenWhisk.Resources-d58d: Using user-provided configuration of storage for OpenWhisk.
14:00:02,334 INFO OpenWhisk-745f: Using existing resource name: 8504288e.
14:00:02,338 INFO Benchmark-3be0: Building benchmark 610.dynamic-html-otel. Reason: no cached code package.
14:20:33,485 INFO Experiment.PerfCost-4ea6: Processed 1200 samples out of 10000, 0 errors
14:20:43,599 INFO Experiment.PerfCost-4ea6: Processed 1210 samples out of 10000, 0 errors
14:20:53,722 INFO Experiment.PerfCost-4ea6: Processed 1220 samples out of 10000, 0 errors
14:21:03,837 INFO Experiment.PerfCost-4ea6: Processed 1230 samples out of 10000, 0 errors
14:21:13,941 INFO Experiment.PerfCost-4ea6: Processed 1240 samples out of 10000, 0 errors
14:21:24,74 INFO Experiment.PerfCost-4ea6: Processed 1250 samples out of 10000, 0 errors
14:21:34,202 INFO Experiment.PerfCost-4ea6: Processed 1260 samples out of 10000, 0 errors
14:21:44,309 INFO Experiment.PerfCost-4ea6: Processed 1270 samples out of 10000, 0 errors
14:21:54,423 INFO Experiment.PerfCost-4ea6: Processed 1280 samples out of 10000, 0 errors
14:22:04,533 INFO Experiment.PerfCost-4ea6: Processed 1290 samples out of 10000, 0 errors
14:22:14,662 INFO Experiment.PerfCost-4ea6: Processed 1300 samples out of 10000, 0 errors
14:22:24,781 INFO Experiment.PerfCost-4ea6: Processed 1310 samples out of 10000, 0 errors
14:22:34,887 INFO Experiment.PerfCost-4ea6: Processed 1320 samples out of 10000, 0 errors
14:22:45,7 INFO Experiment.PerfCost-4ea6: Processed 1330 samples out of 10000, 0 errors
14:22:55,139 INFO Experiment.PerfCost-4ea6: Processed 1340 samples out of 10000, 0 errors
14:23:05,248 INFO Experiment.PerfCost-4ea6: Processed 1350 samples out of 10000, 0 errors
14:23:15,368 INFO Experiment.PerfCost-4ea6: Processed 1360 samples out of 10000, 0 errors
14:23:25,503 INFO Experiment.PerfCost-4ea6: Processed 1370 samples out of 10000, 0 errors
14:23:35,632 INFO Experiment.PerfCost-4ea6: Processed 1380 samples out of 10000, 0 errors
14:23:45,737 INFO Experiment.PerfCost-4ea6: Processed 1390 samples out of 10000, 0 errors
14:23:55,844 INFO Experiment.PerfCost-4ea6: Processed 1400 samples out of 10000, 0 errors
14:24:05,966 INFO Experiment.PerfCost-4ea6: Processed 1410 samples out of 10000, 0 errors
