19:49:16,865 INFO SeBS-74f6: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/620.uploader-otel
19:49:17,229 INFO OpenWhisk.Resources-b49a: Using user-provided configuration of storage for OpenWhisk.
19:49:17,230 INFO OpenWhisk-3384: Using existing resource name: fd5e1ae0.
19:49:17,233 INFO Benchmark-de75: Building benchmark 620.uploader-opentelemetry. Reason: no cached code package.
19:58:51,602 INFO Experiment.PerfCost-db86: Processed 550 samples out of 10000, 0 errors
19:59:01,786 INFO Experiment.PerfCost-db86: Processed 560 samples out of 10000, 0 errors
19:59:11,982 INFO Experiment.PerfCost-db86: Processed 570 samples out of 10000, 0 errors
19:59:22,183 INFO Experiment.PerfCost-db86: Processed 580 samples out of 10000, 0 errors
19:59:32,378 INFO Experiment.PerfCost-db86: Processed 590 samples out of 10000, 0 errors
19:59:42,606 INFO Experiment.PerfCost-db86: Processed 600 samples out of 10000, 0 errors
19:59:52,790 INFO Experiment.PerfCost-db86: Processed 610 samples out of 10000, 0 errors
20:00:02,989 INFO Experiment.PerfCost-db86: Processed 620 samples out of 10000, 0 errors
20:00:13,172 INFO Experiment.PerfCost-db86: Processed 630 samples out of 10000, 0 errors
20:00:23,366 INFO Experiment.PerfCost-db86: Processed 640 samples out of 10000, 0 errors
20:00:33,561 INFO Experiment.PerfCost-db86: Processed 650 samples out of 10000, 0 errors
20:00:43,750 INFO Experiment.PerfCost-db86: Processed 660 samples out of 10000, 0 errors
20:00:53,943 INFO Experiment.PerfCost-db86: Processed 670 samples out of 10000, 0 errors
20:01:04,138 INFO Experiment.PerfCost-db86: Processed 680 samples out of 10000, 0 errors
20:01:14,333 INFO Experiment.PerfCost-db86: Processed 690 samples out of 10000, 0 errors
20:01:24,534 INFO Experiment.PerfCost-db86: Processed 700 samples out of 10000, 0 errors
20:01:34,739 INFO Experiment.PerfCost-db86: Processed 710 samples out of 10000, 0 errors
20:01:44,926 INFO Experiment.PerfCost-db86: Processed 720 samples out of 10000, 0 errors
20:01:55,107 INFO Experiment.PerfCost-db86: Processed 730 samples out of 10000, 0 errors
20:02:05,294 INFO Experiment.PerfCost-db86: Processed 740 samples out of 10000, 0 errors
20:02:15,481 INFO Experiment.PerfCost-db86: Processed 750 samples out of 10000, 0 errors
20:02:25,674 INFO Experiment.PerfCost-db86: Processed 760 samples out of 10000, 0 errors
20:02:35,879 INFO Experiment.PerfCost-db86: Processed 770 samples out of 10000, 0 errors
20:02:46,120 INFO Experiment.PerfCost-db86: Processed 780 samples out of 10000, 0 errors
20:02:56,318 INFO Experiment.PerfCost-db86: Processed 790 samples out of 10000, 0 errors
20:03:06,509 INFO Experiment.PerfCost-db86: Processed 800 samples out of 10000, 0 errors
20:03:16,714 INFO Experiment.PerfCost-db86: Processed 810 samples out of 10000, 0 errors
20:03:26,917 INFO Experiment.PerfCost-db86: Processed 820 samples out of 10000, 0 errors
20:03:37,101 INFO Experiment.PerfCost-db86: Processed 830 samples out of 10000, 0 errors
20:03:47,294 INFO Experiment.PerfCost-db86: Processed 840 samples out of 10000, 0 errors
20:03:57,478 INFO Experiment.PerfCost-db86: Processed 850 samples out of 10000, 0 errors
20:04:07,683 INFO Experiment.PerfCost-db86: Processed 860 samples out of 10000, 0 errors
20:04:17,873 INFO Experiment.PerfCost-db86: Processed 870 samples out of 10000, 0 errors
20:04:28,54 INFO Experiment.PerfCost-db86: Processed 880 samples out of 10000, 0 errors
20:04:38,254 INFO Experiment.PerfCost-db86: Processed 890 samples out of 10000, 0 errors
20:04:48,497 INFO Experiment.PerfCost-db86: Processed 900 samples out of 10000, 0 errors
20:04:58,683 INFO Experiment.PerfCost-db86: Processed 910 samples out of 10000, 0 errors
20:05:08,877 INFO Experiment.PerfCost-db86: Processed 920 samples out of 10000, 0 errors
20:05:19,69 INFO Experiment.PerfCost-db86: Processed 930 samples out of 10000, 0 errors
20:05:29,318 INFO Experiment.PerfCost-db86: Processed 940 samples out of 10000, 0 errors
20:05:39,516 INFO Experiment.PerfCost-db86: Processed 950 samples out of 10000, 0 errors
20:05:49,728 INFO Experiment.PerfCost-db86: Processed 960 samples out of 10000, 0 errors
20:05:59,907 INFO Experiment.PerfCost-db86: Processed 970 samples out of 10000, 0 errors
20:06:10,90 INFO Experiment.PerfCost-db86: Processed 980 samples out of 10000, 0 errors
20:06:20,293 INFO Experiment.PerfCost-db86: Processed 990 samples out of 10000, 0 errors
20:06:30,485 INFO Experiment.PerfCost-db86: Processed 1000 samples out of 10000, 0 errors
20:06:40,671 INFO Experiment.PerfCost-db86: Processed 1010 samples out of 10000, 0 errors
20:06:50,866 INFO Experiment.PerfCost-db86: Processed 1020 samples out of 10000, 0 errors
20:07:01,91 INFO Experiment.PerfCost-db86: Processed 1030 samples out of 10000, 0 errors
20:07:11,276 INFO Experiment.PerfCost-db86: Processed 1040 samples out of 10000, 0 errors
20:07:21,494 INFO Experiment.PerfCost-db86: Processed 1050 samples out of 10000, 0 errors
20:07:31,698 INFO Experiment.PerfCost-db86: Processed 1060 samples out of 10000, 0 errors
20:07:41,894 INFO Experiment.PerfCost-db86: Processed 1070 samples out of 10000, 0 errors
20:07:52,144 INFO Experiment.PerfCost-db86: Processed 1080 samples out of 10000, 0 errors
20:08:02,348 INFO Experiment.PerfCost-db86: Processed 1090 samples out of 10000, 0 errors
20:08:12,527 INFO Experiment.PerfCost-db86: Processed 1100 samples out of 10000, 0 errors
20:08:22,730 INFO Experiment.PerfCost-db86: Processed 1110 samples out of 10000, 0 errors
20:08:32,919 INFO Experiment.PerfCost-db86: Processed 1120 samples out of 10000, 0 errors
20:08:43,121 INFO Experiment.PerfCost-db86: Processed 1130 samples out of 10000, 0 errors
20:08:53,315 INFO Experiment.PerfCost-db86: Processed 1140 samples out of 10000, 0 errors
20:09:03,501 INFO Experiment.PerfCost-db86: Processed 1150 samples out of 10000, 0 errors
20:09:13,697 INFO Experiment.PerfCost-db86: Processed 1160 samples out of 10000, 0 errors
20:09:23,882 INFO Experiment.PerfCost-db86: Processed 1170 samples out of 10000, 0 errors
20:09:34,72 INFO Experiment.PerfCost-db86: Processed 1180 samples out of 10000, 0 errors
20:09:44,262 INFO Experiment.PerfCost-db86: Processed 1190 samples out of 10000, 0 errors
20:09:54,454 INFO Experiment.PerfCost-db86: Processed 1200 samples out of 10000, 0 errors
