17:00:09,908 INFO SeBS-3704: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/610.dynamic-html-otel
17:00:10,273 INFO OpenWhisk.Resources-e9f0: Using user-provided configuration of storage for OpenWhisk.
17:00:10,273 INFO OpenWhisk-83d8: Using existing resource name: fd5e1ae0.
17:00:10,275 INFO Benchmark-40b9: Building benchmark 610.dynamic-html-otel. Reason: no cached code package.
17:18:25,401 INFO Experiment.PerfCost-0dff: Processed 1070 samples out of 10000, 0 errors
17:18:35,508 INFO Experiment.PerfCost-0dff: Processed 1080 samples out of 10000, 0 errors
17:18:45,620 INFO Experiment.PerfCost-0dff: Processed 1090 samples out of 10000, 0 errors
17:18:55,728 INFO Experiment.PerfCost-0dff: Processed 1100 samples out of 10000, 0 errors
17:19:05,832 INFO Experiment.PerfCost-0dff: Processed 1110 samples out of 10000, 0 errors
17:19:15,938 INFO Experiment.PerfCost-0dff: Processed 1120 samples out of 10000, 0 errors
17:19:26,42 INFO Experiment.PerfCost-0dff: Processed 1130 samples out of 10000, 0 errors
17:19:36,146 INFO Experiment.PerfCost-0dff: Processed 1140 samples out of 10000, 0 errors
17:19:46,241 INFO Experiment.PerfCost-0dff: Processed 1150 samples out of 10000, 0 errors
17:19:56,355 INFO Experiment.PerfCost-0dff: Processed 1160 samples out of 10000, 0 errors
17:20:06,474 INFO Experiment.PerfCost-0dff: Processed 1170 samples out of 10000, 0 errors
17:20:16,582 INFO Experiment.PerfCost-0dff: Processed 1180 samples out of 10000, 0 errors
17:20:26,679 INFO Experiment.PerfCost-0dff: Processed 1190 samples out of 10000, 0 errors
17:20:36,836 INFO Experiment.PerfCost-0dff: Processed 1200 samples out of 10000, 0 errors
17:20:46,947 INFO Experiment.PerfCost-0dff: Processed 1210 samples out of 10000, 0 errors
17:20:57,48 INFO Experiment.PerfCost-0dff: Processed 1220 samples out of 10000, 0 errors
17:21:07,159 INFO Experiment.PerfCost-0dff: Processed 1230 samples out of 10000, 0 errors
17:21:17,258 INFO Experiment.PerfCost-0dff: Processed 1240 samples out of 10000, 0 errors
17:21:27,365 INFO Experiment.PerfCost-0dff: Processed 1250 samples out of 10000, 0 errors
17:21:37,466 INFO Experiment.PerfCost-0dff: Processed 1260 samples out of 10000, 0 errors
17:21:47,571 INFO Experiment.PerfCost-0dff: Processed 1270 samples out of 10000, 0 errors
17:21:57,673 INFO Experiment.PerfCost-0dff: Processed 1280 samples out of 10000, 0 errors
17:22:07,775 INFO Experiment.PerfCost-0dff: Processed 1290 samples out of 10000, 0 errors
17:22:17,892 INFO Experiment.PerfCost-0dff: Processed 1300 samples out of 10000, 0 errors
17:22:28,6 INFO Experiment.PerfCost-0dff: Processed 1310 samples out of 10000, 0 errors
