02:54:19,407 INFO Experiment.PerfCost-9875: Processed 1250 samples out of 10000, 0 errors
02:54:29,722 INFO Experiment.PerfCost-9875: Processed 1260 samples out of 10000, 0 errors
02:54:40,48 INFO Experiment.PerfCost-9875: Processed 1270 samples out of 10000, 0 errors
02:54:50,359 INFO Experiment.PerfCost-9875: Processed 1280 samples out of 10000, 0 errors
02:55:00,686 INFO Experiment.PerfCost-9875: Processed 1290 samples out of 10000, 0 errors
02:55:11,25 INFO Experiment.PerfCost-9875: Processed 1300 samples out of 10000, 0 errors
02:55:21,335 INFO Experiment.PerfCost-9875: Processed 1310 samples out of 10000, 0 errors
02:55:31,649 INFO Experiment.PerfCost-9875: Processed 1320 samples out of 10000, 0 errors
02:55:41,978 INFO Experiment.PerfCost-9875: Processed 1330 samples out of 10000, 0 errors
02:55:52,300 INFO Experiment.PerfCost-9875: Processed 1340 samples out of 10000, 0 errors
02:56:02,617 INFO Experiment.PerfCost-9875: Processed 1350 samples out of 10000, 0 errors
02:56:12,923 INFO Experiment.PerfCost-9875: Processed 1360 samples out of 10000, 0 errors
02:56:23,236 INFO Experiment.PerfCost-9875: Processed 1370 samples out of 10000, 0 errors
02:56:33,607 INFO Experiment.PerfCost-9875: Processed 1380 samples out of 10000, 0 errors
02:56:43,925 INFO Experiment.PerfCost-9875: Processed 1390 samples out of 10000, 0 errors
02:56:54,234 INFO Experiment.PerfCost-9875: Processed 1400 samples out of 10000, 0 errors
02:57:04,559 INFO Experiment.PerfCost-9875: Processed 1410 samples out of 10000, 0 errors
02:57:14,879 INFO Experiment.PerfCost-9875: Processed 1420 samples out of 10000, 0 errors
02:57:25,224 INFO Experiment.PerfCost-9875: Processed 1430 samples out of 10000, 0 errors
02:57:35,530 INFO Experiment.PerfCost-9875: Processed 1440 samples out of 10000, 0 errors
02:57:45,855 INFO Experiment.PerfCost-9875: Processed 1450 samples out of 10000, 0 errors
02:57:56,159 INFO Experiment.PerfCost-9875: Processed 1460 samples out of 10000, 0 errors
02:58:06,487 INFO Experiment.PerfCost-9875: Processed 1470 samples out of 10000, 0 errors
02:58:16,826 INFO Experiment.PerfCost-9875: Processed 1480 samples out of 10000, 0 errors
02:58:27,156 INFO Experiment.PerfCost-9875: Processed 1490 samples out of 10000, 0 errors
02:58:37,474 INFO Experiment.PerfCost-9875: Processed 1500 samples out of 10000, 0 errors
02:58:47,801 INFO Experiment.PerfCost-9875: Processed 1510 samples out of 10000, 0 errors
02:58:58,122 INFO Experiment.PerfCost-9875: Processed 1520 samples out of 10000, 0 errors
02:59:08,436 INFO Experiment.PerfCost-9875: Processed 1530 samples out of 10000, 0 errors
02:59:18,753 INFO Experiment.PerfCost-9875: Processed 1540 samples out of 10000, 0 errors
02:59:29,71 INFO Experiment.PerfCost-9875: Processed 1550 samples out of 10000, 0 errors
02:59:39,397 INFO Experiment.PerfCost-9875: Processed 1560 samples out of 10000, 0 errors
02:59:49,703 INFO Experiment.PerfCost-9875: Processed 1570 samples out of 10000, 0 errors
03:00:00,20 INFO Experiment.PerfCost-9875: Processed 1580 samples out of 10000, 0 errors
03:00:10,352 INFO Experiment.PerfCost-9875: Processed 1590 samples out of 10000, 0 errors
03:00:20,681 INFO Experiment.PerfCost-9875: Processed 1600 samples out of 10000, 0 errors
03:00:30,985 INFO Experiment.PerfCost-9875: Processed 1610 samples out of 10000, 0 errors
03:00:41,304 INFO Experiment.PerfCost-9875: Processed 1620 samples out of 10000, 0 errors
03:00:51,618 INFO Experiment.PerfCost-9875: Processed 1630 samples out of 10000, 0 errors
03:01:01,941 INFO Experiment.PerfCost-9875: Processed 1640 samples out of 10000, 0 errors
03:01:12,321 INFO Experiment.PerfCost-9875: Processed 1650 samples out of 10000, 0 errors
03:01:22,674 INFO Experiment.PerfCost-9875: Processed 1660 samples out of 10000, 0 errors
03:01:32,998 INFO Experiment.PerfCost-9875: Processed 1670 samples out of 10000, 0 errors
03:01:43,372 INFO Experiment.PerfCost-9875: Processed 1680 samples out of 10000, 0 errors
03:01:53,695 INFO Experiment.PerfCost-9875: Processed 1690 samples out of 10000, 0 errors
03:02:04,5 INFO Experiment.PerfCost-9875: Processed 1700 samples out of 10000, 0 errors
03:02:14,325 INFO Experiment.PerfCost-9875: Processed 1710 samples out of 10000, 0 errors
03:02:24,636 INFO Experiment.PerfCost-9875: Processed 1720 samples out of 10000, 0 errors
03:02:34,952 INFO Experiment.PerfCost-9875: Processed 1730 samples out of 10000, 0 errors
03:02:45,254 INFO Experiment.PerfCost-9875: Processed 1740 samples out of 10000, 0 errors
03:02:55,572 INFO Experiment.PerfCost-9875: Processed 1750 samples out of 10000, 0 errors
03:03:05,885 INFO Experiment.PerfCost-9875: Processed 1760 samples out of 10000, 0 errors
03:03:16,202 INFO Experiment.PerfCost-9875: Processed 1770 samples out of 10000, 0 errors
03:03:26,517 INFO Experiment.PerfCost-9875: Processed 1780 samples out of 10000, 0 errors
03:03:36,842 INFO Experiment.PerfCost-9875: Processed 1790 samples out of 10000, 0 errors
03:03:47,157 INFO Experiment.PerfCost-9875: Processed 1800 samples out of 10000, 0 errors
03:03:57,483 INFO Experiment.PerfCost-9875: Processed 1810 samples out of 10000, 0 errors
03:04:07,811 INFO Experiment.PerfCost-9875: Processed 1820 samples out of 10000, 0 errors
03:04:18,138 INFO Experiment.PerfCost-9875: Processed 1830 samples out of 10000, 0 errors
03:04:28,449 INFO Experiment.PerfCost-9875: Processed 1840 samples out of 10000, 0 errors
03:04:38,781 INFO Experiment.PerfCost-9875: Processed 1850 samples out of 10000, 0 errors
03:04:49,96 INFO Experiment.PerfCost-9875: Processed 1860 samples out of 10000, 0 errors
03:04:59,400 INFO Experiment.PerfCost-9875: Processed 1870 samples out of 10000, 0 errors
03:05:09,708 INFO Experiment.PerfCost-9875: Processed 1880 samples out of 10000, 0 errors
03:05:20,31 INFO Experiment.PerfCost-9875: Processed 1890 samples out of 10000, 0 errors
03:05:30,372 INFO Experiment.PerfCost-9875: Processed 1900 samples out of 10000, 0 errors
03:05:40,698 INFO Experiment.PerfCost-9875: Processed 1910 samples out of 10000, 0 errors
03:05:51,20 INFO Experiment.PerfCost-9875: Processed 1920 samples out of 10000, 0 errors
03:06:01,335 INFO Experiment.PerfCost-9875: Processed 1930 samples out of 10000, 0 errors
03:06:11,647 INFO Experiment.PerfCost-9875: Processed 1940 samples out of 10000, 0 errors
03:06:21,982 INFO Experiment.PerfCost-9875: Processed 1950 samples out of 10000, 0 errors
03:06:32,305 INFO Experiment.PerfCost-9875: Processed 1960 samples out of 10000, 0 errors
03:06:42,616 INFO Experiment.PerfCost-9875: Processed 1970 samples out of 10000, 0 errors
03:06:52,980 INFO Experiment.PerfCost-9875: Processed 1980 samples out of 10000, 0 errors
03:07:03,287 INFO Experiment.PerfCost-9875: Processed 1990 samples out of 10000, 0 errors
03:07:13,617 INFO Experiment.PerfCost-9875: Processed 2000 samples out of 10000, 0 errors
03:07:23,918 INFO Experiment.PerfCost-9875: Processed 2010 samples out of 10000, 0 errors
03:07:34,232 INFO Experiment.PerfCost-9875: Processed 2020 samples out of 10000, 0 errors
03:07:44,538 INFO Experiment.PerfCost-9875: Processed 2030 samples out of 10000, 0 errors
03:07:54,867 INFO Experiment.PerfCost-9875: Processed 2040 samples out of 10000, 0 errors
03:08:05,201 INFO Experiment.PerfCost-9875: Processed 2050 samples out of 10000, 0 errors
03:08:15,519 INFO Experiment.PerfCost-9875: Processed 2060 samples out of 10000, 0 errors
03:08:25,829 INFO Experiment.PerfCost-9875: Processed 2070 samples out of 10000, 0 errors
03:08:36,145 INFO Experiment.PerfCost-9875: Processed 2080 samples out of 10000, 0 errors
03:08:46,471 INFO Experiment.PerfCost-9875: Processed 2090 samples out of 10000, 0 errors
03:08:56,782 INFO Experiment.PerfCost-9875: Processed 2100 samples out of 10000, 0 errors
03:09:07,110 INFO Experiment.PerfCost-9875: Processed 2110 samples out of 10000, 0 errors
03:09:17,427 INFO Experiment.PerfCost-9875: Processed 2120 samples out of 10000, 0 errors
03:09:27,755 INFO Experiment.PerfCost-9875: Processed 2130 samples out of 10000, 0 errors
03:09:38,92 INFO Experiment.PerfCost-9875: Processed 2140 samples out of 10000, 0 errors
03:09:48,427 INFO Experiment.PerfCost-9875: Processed 2150 samples out of 10000, 0 errors
03:09:58,735 INFO Experiment.PerfCost-9875: Processed 2160 samples out of 10000, 0 errors
03:10:09,58 INFO Experiment.PerfCost-9875: Processed 2170 samples out of 10000, 0 errors
03:10:19,388 INFO Experiment.PerfCost-9875: Processed 2180 samples out of 10000, 0 errors
03:10:29,721 INFO Experiment.PerfCost-9875: Processed 2190 samples out of 10000, 0 errors
03:10:40,52 INFO Experiment.PerfCost-9875: Processed 2200 samples out of 10000, 0 errors
03:10:50,390 INFO Experiment.PerfCost-9875: Processed 2210 samples out of 10000, 0 errors
03:11:00,716 INFO Experiment.PerfCost-9875: Processed 2220 samples out of 10000, 0 errors
03:11:11,28 INFO Experiment.PerfCost-9875: Processed 2230 samples out of 10000, 0 errors
03:11:21,353 INFO Experiment.PerfCost-9875: Processed 2240 samples out of 10000, 0 errors
