16:49:24,6 INFO SeBS-3a87: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/620.uploader-otel
16:49:24,353 INFO OpenWhisk.Resources-49e2: Using user-provided configuration of storage for OpenWhisk.
16:49:24,354 INFO OpenWhisk-6aa3: Using existing resource name: 8504288e.
16:49:24,358 INFO Benchmark-1bfc: Building benchmark 620.uploader-opentelemetry. Reason: no cached code package.
17:07:17,681 INFO Experiment.PerfCost-961b: Processed 1040 samples out of 10000, 0 errors
17:07:27,870 INFO Experiment.PerfCost-961b: Processed 1050 samples out of 10000, 0 errors
17:07:38,31 INFO Experiment.PerfCost-961b: Processed 1060 samples out of 10000, 0 errors
17:07:48,239 INFO Experiment.PerfCost-961b: Processed 1070 samples out of 10000, 0 errors
17:07:58,434 INFO Experiment.PerfCost-961b: Processed 1080 samples out of 10000, 0 errors
17:08:08,597 INFO Experiment.PerfCost-961b: Processed 1090 samples out of 10000, 0 errors
17:08:18,767 INFO Experiment.PerfCost-961b: Processed 1100 samples out of 10000, 0 errors
17:08:28,943 INFO Experiment.PerfCost-961b: Processed 1110 samples out of 10000, 0 errors
17:08:39,123 INFO Experiment.PerfCost-961b: Processed 1120 samples out of 10000, 0 errors
17:08:49,305 INFO Experiment.PerfCost-961b: Processed 1130 samples out of 10000, 0 errors
17:08:59,479 INFO Experiment.PerfCost-961b: Processed 1140 samples out of 10000, 0 errors
17:09:09,662 INFO Experiment.PerfCost-961b: Processed 1150 samples out of 10000, 0 errors
17:09:19,835 INFO Experiment.PerfCost-961b: Processed 1160 samples out of 10000, 0 errors
17:09:30,18 INFO Experiment.PerfCost-961b: Processed 1170 samples out of 10000, 0 errors
17:09:40,207 INFO Experiment.PerfCost-961b: Processed 1180 samples out of 10000, 0 errors
17:09:50,380 INFO Experiment.PerfCost-961b: Processed 1190 samples out of 10000, 0 errors
17:10:00,567 INFO Experiment.PerfCost-961b: Processed 1200 samples out of 10000, 0 errors
17:10:10,735 INFO Experiment.PerfCost-961b: Processed 1210 samples out of 10000, 0 errors
17:10:20,899 INFO Experiment.PerfCost-961b: Processed 1220 samples out of 10000, 0 errors
17:10:31,70 INFO Experiment.PerfCost-961b: Processed 1230 samples out of 10000, 0 errors
17:10:41,257 INFO Experiment.PerfCost-961b: Processed 1240 samples out of 10000, 0 errors
17:10:51,455 INFO Experiment.PerfCost-961b: Processed 1250 samples out of 10000, 0 errors
17:11:01,626 INFO Experiment.PerfCost-961b: Processed 1260 samples out of 10000, 0 errors
17:11:11,823 INFO Experiment.PerfCost-961b: Processed 1270 samples out of 10000, 0 errors
17:11:21,995 INFO Experiment.PerfCost-961b: Processed 1280 samples out of 10000, 0 errors
17:11:32,179 INFO Experiment.PerfCost-961b: Processed 1290 samples out of 10000, 0 errors
17:11:42,358 INFO Experiment.PerfCost-961b: Processed 1300 samples out of 10000, 0 errors
