19:39:34,775 INFO SeBS-c6b9: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/630.thumbnailer-otel
19:39:35,93 INFO OpenWhisk.Resources-151e: Using user-provided configuration of storage for OpenWhisk.
19:39:35,94 INFO OpenWhisk-24e9: Using existing resource name: 8504288e.
19:39:35,98 INFO Benchmark-0fec: Building benchmark 630.thumbnailer-opentelemetry. Reason: no cached code package.
20:05:23,396 INFO Experiment.PerfCost-0e34: Processed 1400 samples out of 10000, 0 errors
20:05:34,126 INFO Experiment.PerfCost-0e34: Processed 1410 samples out of 10000, 0 errors
20:05:44,908 INFO Experiment.PerfCost-0e34: Processed 1420 samples out of 10000, 0 errors
20:05:55,658 INFO Experiment.PerfCost-0e34: Processed 1430 samples out of 10000, 0 errors
20:06:06,411 INFO Experiment.PerfCost-0e34: Processed 1440 samples out of 10000, 0 errors
20:06:17,162 INFO Experiment.PerfCost-0e34: Processed 1450 samples out of 10000, 0 errors
20:06:27,905 INFO Experiment.PerfCost-0e34: Processed 1460 samples out of 10000, 0 errors
20:06:38,638 INFO Experiment.PerfCost-0e34: Processed 1470 samples out of 10000, 0 errors
20:06:49,336 INFO Experiment.PerfCost-0e34: Processed 1480 samples out of 10000, 0 errors
20:07:00,87 INFO Experiment.PerfCost-0e34: Processed 1490 samples out of 10000, 0 errors
20:07:10,811 INFO Experiment.PerfCost-0e34: Processed 1500 samples out of 10000, 0 errors
20:07:21,501 INFO Experiment.PerfCost-0e34: Processed 1510 samples out of 10000, 0 errors
20:07:32,239 INFO Experiment.PerfCost-0e34: Processed 1520 samples out of 10000, 0 errors
20:07:42,944 INFO Experiment.PerfCost-0e34: Processed 1530 samples out of 10000, 0 errors
20:07:53,695 INFO Experiment.PerfCost-0e34: Processed 1540 samples out of 10000, 0 errors
20:08:04,409 INFO Experiment.PerfCost-0e34: Processed 1550 samples out of 10000, 0 errors
20:08:15,114 INFO Experiment.PerfCost-0e34: Processed 1560 samples out of 10000, 0 errors
20:08:25,780 INFO Experiment.PerfCost-0e34: Processed 1570 samples out of 10000, 0 errors
20:08:36,546 INFO Experiment.PerfCost-0e34: Processed 1580 samples out of 10000, 0 errors
20:08:47,278 INFO Experiment.PerfCost-0e34: Processed 1590 samples out of 10000, 0 errors
20:08:58,42 INFO Experiment.PerfCost-0e34: Processed 1600 samples out of 10000, 0 errors
20:09:08,812 INFO Experiment.PerfCost-0e34: Processed 1610 samples out of 10000, 0 errors
20:09:19,539 INFO Experiment.PerfCost-0e34: Processed 1620 samples out of 10000, 0 errors
20:09:30,291 INFO Experiment.PerfCost-0e34: Processed 1630 samples out of 10000, 0 errors
20:09:41,9 INFO Experiment.PerfCost-0e34: Processed 1640 samples out of 10000, 0 errors
20:09:51,638 INFO Experiment.PerfCost-0e34: Processed 1650 samples out of 10000, 0 errors
